age (BP),temperature (degC)
68.889,8.15
344.444,9.168
620,8.405
834.444,9.206
963.111,8.388
1134.667,7.997
1349.111,8.724
1520.667,8.477
1649.333,8.463
1863.778,8.751
1992.444,8.699
2292.667,8.542
2464.222,8.895
2940.588,9.164
3266.078,8.608
3461.373,8.678
3721.765,9.973
4112.353,9.093
4242.549,8.024
4633.137,8.476
4893.529,8.877
5088.824,9.765
5414.314,9.201
5674.706,8.466
5974.694,9.579
6184.082,10.154
6323.673,10.449
6498.163,9.569
6672.653,8.867
6812.245,9.49
6951.837,9.521
7231.021,9.516
7370.612,9.684
7510.204,10.368
7696.4,9.8
7890.4,10.601
8123.2,9.507
8433.6,10.041
8588.8,10.794
8821.6,10.654
8976.8,11.276
9132,10.565
9364.8,10.904
9592.941,11.163
9665.883,11.419
9811.765,11.427
9957.647,11.63
10030.588,11.272
10103.529,11.151
10212.941,11.893
10340.588,9.691
10477.097,11.602
10549.354,11.669
10563.549,11.638
10571.29,12.461
10625.483,11.909
10675.161,10.387
10715.807,9.212
10756.451,11.265
10788.064,10.02
