depth (m),temperature (degC),temperature (degC),temperatureComposite (degC),depth (m),TOC (percent),depth (m),temperature (degC),Uk37 (missing),depth (m),CaCO3 (percent)
0.04,29.26,26.25,0.949,0.005,0.672,0.005,27.921,0.958,0.005,13.245
0.12,29.25,26.1,0.869,0.025,0.764,0.025,28.043,0.961,0.025,15.892
0.2,29,25.56,0.474,0.045,0.546,0.045,27.472,0.944,0.045,12.663
0.28,28.96,25.65,0.499,0.065,0.634,0.055,27.054,0.931,0.065,16.751
0.36,29.22,26.12,0.864,0.085,0.592,0.065,27.691,0.95,0.085,12.669
0.44,29.01,25.5,0.449,0.105,0.735,0.085,28.014,0.96,0.105,17.098
0.52,29.05,25.89,0.664,0.125,0.683,0.095,27.432,0.942,0.125,15.958
0.6,28.78,25.41,0.289,0.145,0.566,0.105,27.188,0.935,0.145,16.224
0.68,29.26,26.44,1.044,0.165,0.653,0.125,27.483,0.944,0.165,18.48
0.76,29.02,25.97,0.689,0.185,0.673,0.135,27.227,0.936,0.185,17.908
0.84,29.12,26.27,0.889,0.205,0.634,0.145,28.1,0.963,0.205,18.763
0.92,29.14,26.5,1.014,0.225,0.682,0.165,27.326,0.939,0.225,18.283
1,29.26,26.58,1.114,0.245,0.608,0.175,27.373,0.941,0.245,18.601
1.08,29.02,26.28,0.844,0.265,0.684,0.185,27.555,0.946,0.265,16.599
1.16,28.82,25.63,0.419,0.285,0.645,0.205,26.987,0.929,0.285,18.7
1.24,28.83,26.19,0.704,0.305,0.611,0.215,27.066,0.931,0.305,16.742
1.32,28.84,25.94,0.584,0.325,0.659,0.225,27.468,0.944,0.325,17.648
1.4,29.19,26.44,1.009,0.345,0.69,0.245,27.65,0.949,0.345,20.592
1.48,28.99,26.02,0.699,0.365,0.653,0.255,27.089,0.932,0.365,19.478
1.56,29.15,26.64,1.089,0.385,0.717,0.265,27.725,0.952,0.385,18.308
1.64,29.08,26.2,0.834,0.405,0.709,0.285,27.292,0.938,0.405,19.202
1.72,29.39,26.77,1.274,0.425,0.526,0.295,26.989,0.929,0.425,18.626
1.8,29.18,26.34,0.954,0.445,0.7,0.305,27.14,0.933,0.445,19.71
1.88,29.23,26.13,0.874,0.465,0.763,0.325,27.374,0.941,0.465,19.475
1.96,29.03,26.06,0.739,0.485,0.679,0.345,28.027,0.961,0.485,21.077
2.04,29.37,26.46,1.109,0.505,0.727,0.365,27.393,0.941,0.505,19.012
2.12,29.38,26.62,1.194,0.525,0.614,0.375,26.988,0.929,0.525,20.489
2.2,28.8,24.79,-0.011,0.545,0.682,0.385,27.82,0.954,0.545,19.733
2.28,28.71,24.58,-0.161,0.565,0.66,0.405,27.226,0.936,0.565,21.523
2.36,29.32,26.55,1.129,0.585,0.722,0.425,27.259,0.937,0.585,18.19
2.44,29.18,26.15,0.859,0.605,0.621,0.445,27.2,0.935,0.605,16.836
2.52,29.22,26.21,0.909,0.625,0.704,0.465,26.695,0.92,0.625,18.542
2.6,28.9,25.48,0.384,0.645,0.667,0.485,27.276,0.938,0.645,21.388
2.68,29.01,25.73,0.564,0.665,0.664,0.495,27.249,0.937,0.665,18.025
2.76,29.58,26.86,1.414,0.685,0.613,0.505,27.203,0.935,0.685,15.884
2.84,28.89,24.77,0.024,0.705,0.813,0.525,27.42,0.942,0.705,19.217
2.92,28.94,25.15,0.239,0.725,0.639,0.545,27.489,0.944,0.725,20.61
3,29.49,26.93,1.404,0.745,0.701,0.565,27.271,0.937,0.745,20.383
3.08,29.09,25.93,0.704,0.765,0.59,0.585,27.834,0.955,0.765,15.7
3.16,29.13,25.86,0.689,0.785,0.688,0.605,27.337,0.939,0.785,16.992
3.24,29.37,26.64,1.199,0.805,0.558,0.625,27.79,0.954,0.805,19.945
3.32,29.37,26.5,1.129,0.825,0.704,0.645,27.019,0.93,0.825,20.699
3.4,28.92,25.09,0.199,0.845,0.692,0.665,27.729,0.952,0.845,20.022
3.48,29.03,25.22,0.319,0.865,0.685,0.685,27.832,0.955,0.865,17.875
3.56,28.73,24.37,-0.256,0.885,0.676,0.705,28.003,0.96,0.885,17.449
3.64,28.72,24.47,-0.211,0.905,0.747,0.725,27.465,0.943,0.905,21.582
3.72,29.15,25.6,0.569,0.925,0.73,0.745,27.219,0.936,0.925,22.616
3.8,28.84,24.68,-0.046,0.945,0.793,0.765,27.757,0.953,0.945,19.858
3.88,28.33,23.74,-0.771,0.965,0.631,0.785,27.743,0.952,0.965,20.836
3.96,28.29,23.12,-1.101,0.985,0.63,0.805,27.629,0.949,0.985,21.704
4.04,28.02,23.31,-1.141,1.005,0.688,0.815,27.101,0.932,1.005,21.404
4.12,28.71,24.73,-0.086,1.025,0.726,0.825,28.06,0.962,1.025,21.183
4.2,27.96,23.65,-1.001,1.045,0.764,0.845,27.357,0.94,1.045,20.931
4.28,28.3,24.21,-0.551,1.065,0.69,0.865,27.827,0.955,1.065,19.862
4.36,27.93,23.65,-1.016,1.085,0.653,0.885,27.038,0.93,1.085,19.781
4.44,27.41,21.78,-2.211,1.105,0.705,0.905,27.481,0.944,1.105,20.608
