depth (cm),age (BP),temperature (degC),uncertainty (missing),uncertainty (missing),reliable (missing),Commentregardingreliability1 (missing)
342.5,5070,13.29,14.655,11.925,Y,NA
392.5,5730,13.877,15.272,12.481,Y,NA
442.5,6390,12.08,13.473,10.686,Y,NA
492.5,7050,10.234,11.882,8.585,Y,NA
532.5,7580,12.152,13.54,10.764,Y,NA
542.5,7710,13.863,15.24,12.486,Y,NA
592.5,8055,11.174,12.586,9.762,Y,NA
642.5,8396,10.953,12.348,9.559,Y,NA
692.5,8738,10.132,11.525,8.738,Y,NA
707.5,8845,13.869,15.243,12.494,Y,NA
722.5,8950,13.343,14.754,11.933,Y,NA
742.5,9094,12.989,14.391,11.588,Y,NA
792.5,9452,13.899,15.284,12.514,Y,NA
842.5,10036,13.803,15.259,12.347,Y,NA
892.5,10738,15.046,16.459,13.633,Y,NA
922.5,11165,11.904,13.295,10.513,Y,NA
942.5,11418,15.526,16.983,14.069,Y,only 46 specimens in model
957.5,11578,13.716,15.096,12.336,Y,only 35 specimens in model
972.5,11723,10.283,11.665,8.902,Y,NA
982.5,11819,10.548,11.929,9.166,Y,NA
992.5,11915,10.786,12.174,9.399,Y,NA
1002.5,12012,7.634,9.056,6.212,Y,NA
1012.5,12108,8.122,9.551,6.692,Y,NA
1017.5,12156,8.291,9.729,6.854,Y,NA
1022.5,12204,10.808,12.195,9.421,Y,NA
1042.5,12397,10.115,11.497,8.733,Y,NA
1052.5,12493,8.456,9.853,7.06,Y,NA
1062.5,12590,9.205,10.61,7.799,Y,NA
1072.5,12686,11.011,12.385,9.638,Y,NA
1082.5,12782,9.753,11.136,8.371,Y,NA
1087.5,12830,10.023,11.419,8.627,Y,NA
1092.5,12879,8.863,10.302,7.425,Y,NA
1102.5,12976,7.291,8.746,5.836,Y,NA
1112.5,13074,6.88,8.335,5.424,Y,NA
