depth (m),year (AD),age (BP),d18O (d18O)
3.629,1939.3,10.7,-42.11
3.899,1937.1,12.9,-38.98
4.17,1934.8,15.2,-35.87
4.435,1932.7,17.3,-39.19
4.7,1930.5,19.5,NA
4.965,1928.3,21.7,-38.85
5.228,1926.2,23.8,-37.4
5.491,1924,26,-43.19
5.752,1921.9,28.1,-41.86
6.013,1919.8,30.2,-41.79
6.272,1917.6,32.4,-39.49
6.531,1915.5,34.5,-37.57
6.788,1913.4,36.6,-37.31
7.045,1911.3,38.7,-38.46
7.3,1909.2,40.8,-41.85
7.555,1907.1,42.9,-38.86
7.808,1905.1,44.9,-36.64
8.061,1903,47,-39.32
8.563,1898.9,51.1,-41.89
8.812,1896.9,53.1,-41.21
9.061,1894.8,55.2,-40.09
9.309,1892.6,57.4,-39
9.557,1890.2,59.8,-40.06
9.803,1887.9,62.1,-40.86
10.049,1885.6,64.4,-40.58
10.293,1883.2,66.8,-38.19
10.537,1880.9,69.1,-41.25
10.8,1878.4,71.6,-40.49
11.023,1876.3,73.7,-40.37
11.264,1874,76,-41.15
11.505,1871.7,78.3,-40.56
11.746,1869.4,80.6,-39.98
11.95,1867.5,82.5,-38.22
12.225,1864.9,85.1,-38.54
12.463,1862.6,87.4,-36.33
12.71,1860.3,89.7,-40.6
12.937,1858.1,91.9,-40.9
13.173,1855.9,94.1,-40.72
13.39,1853.8,96.2,-40.23
13.642,1851.4,98.6,-39.28
13.875,1849.2,100.8,-42.24
14.108,1847,103,-39.68
14.338,1844.8,105.2,-40.67
14.568,1842.6,107.4,-39.56
14.84,1839.8,110.2,-44.53
15.026,1837.9,112.1,-38.51
15.254,1835.4,114.6,-39.8
15.48,1833,117,-43.51
15.706,1830.6,119.4,-41.14
15.932,1828.2,121.8,-36.48
16.17,1825.6,124.4,-39.29
16.38,1823.4,126.6,-41.38
16.604,1821,129,-41.63
16.826,1818.6,131.4,-39.16
17.048,1816.2,133.8,-40.21
17.27,1813.8,136.2,-42.67
17.489,1811.5,138.5,-40.43
17.708,1809.2,140.8,NA
17.927,1806.8,143.2,-40.13
