depth (cm),age (Calibrated),temperature (degC),uncertaintyHigh (missing),uncertaintyLow (missing),ReliabIeYN1 (missing),Commentregardingreliability1 (missing)
1,68.889,8.15,9.526,6.774,Y,NA
5,344.444,9.168,10.548,7.788,Y,NA
11,620,8.405,9.802,7.008,N,very poor' fit
19,834.444,9.206,10.574,7.838,Y,NA
27,963.111,8.388,9.797,6.979,N,very poor' fit
33,1134.667,7.997,9.371,6.624,N,very poor' fit
43,1349.111,8.724,10.134,7.315,N,very poor' fit
51,1520.667,8.477,9.895,7.06,N,very poor' fit
57,1649.333,8.463,9.867,7.06,N,very poor' fit
67,1863.778,8.751,10.126,7.376,Y,NA
73,1992.444,8.699,10.08,7.318,Y,NA
87,2292.667,8.542,9.974,7.11,N,very poor' fit
95,2464.222,8.895,10.257,7.533,Y,NA
111,2940.588,9.164,10.509,7.818,Y,NA
121,3266.078,8.608,9.958,7.258,N,very poor' fit
127,3461.373,8.678,10.042,7.314,Y,NA
135,3721.765,9.973,11.28,8.667,Y,NA
147,4112.353,9.093,10.446,7.74,Y,NA
151,4242.549,8.024,9.427,6.621,N,very poor' fit
163,4633.137,8.476,9.872,7.08,Y,NA
171,4893.529,8.877,10.188,7.565,Y,NA
177,5088.824,9.765,11.102,8.427,Y,NA
187,5414.314,9.201,10.555,7.847,Y,NA
195,5674.706,8.466,9.813,7.119,N,very poor' fit
207,5974.694,9.579,10.896,8.263,Y,NA
219,6184.082,10.154,11.503,8.804,Y,NA
227,6323.673,10.449,11.773,9.125,Y,NA
239,6498.163,9.569,10.933,8.205,Y,NA
247,6672.653,8.867,10.228,7.507,Y,NA
255,6812.245,9.49,10.836,8.144,Y,NA
263,6951.837,9.521,10.86,8.182,Y,NA
279,7231.021,9.516,10.846,8.186,Y,NA
287,7370.612,9.684,11.015,8.354,Y,NA
295,7510.204,10.368,11.647,9.089,Y,NA
305,7696.4,9.8,11.092,8.508,Y,NA
315,7890.4,10.601,11.883,9.32,Y,NA
327,8123.2,9.507,10.811,8.203,Y,NA
343,8433.6,10.041,11.315,8.767,Y,NA
351,8588.8,10.794,12.093,9.495,Y,NA
363,8821.6,10.654,11.947,9.361,Y,NA
371,8976.8,11.276,12.585,9.966,Y,NA
379,9132,10.565,11.855,9.275,Y,NA
391,9364.8,10.904,12.186,9.623,Y,NA
407,9592.941,11.163,12.464,9.863,Y,NA
415,9665.883,11.419,12.712,10.126,Y,NA
431,9811.765,11.427,12.731,10.124,Y,NA
447,9957.647,11.63,12.928,10.331,Y,NA
455,10030.588,11.272,12.54,10.005,Y,NA
463,10103.529,11.151,12.437,9.864,Y,NA
475,10212.941,11.893,13.191,10.596,Y,NA
489,10340.588,9.691,11.009,8.372,Y,NA
513,10477.097,11.602,12.861,10.342,Y,NA
545,10549.354,11.669,12.954,10.383,Y,NA
569,10603.549,11.638,12.926,10.349,Y,NA
599,10671.29,12.461,13.757,11.165,Y,NA
623,10725.483,11.909,13.178,10.64,Y,NA
645,10775.161,10.387,11.691,9.083,Y,NA
663,10815.807,9.212,10.575,7.849,Y,NA
681,10856.451,11.265,12.895,9.634,N,very poor' fit
695,10888.064,10.02,11.448,8.592,N,very poor' fit
