depth (cm),age (yrBP),material (NA),rejected (NA),type (NA),error (yr),notes (NA),upper_depth (cm),lower_depth (cm)
25.5,855,bark,NA,AMS14C,15,NA,25,26
56,940,seeds,NA,AMS14C,30,NA,55,57
75.5,1210,seed,NA,AMS14C,40,NA,75,76
82.5,1350,charcoal,NA,AMS14C,40,NA,82,83
89.5,1305,seed,NA,AMS14C,25,NA,89,90
99.5,1775,wood,NA,AMS14C,35,NA,99,100
108.8,1705,seed,NA,AMS14C,20,NA,108,109
127.5,1830,mixed macros,NA,AMS14C,70,NA,127,128
145.5,2050,charcoal,NA,AMS14C,35,NA,145,146
160.5,2830,charcoal,NA,AMS14C,35,NA,160,161
179.5,3135,wood,NA,AMS14C,20,NA,179,180
205.5,3625,mixed macros,NA,AMS14C,50,NA,205,206
227.5,3905,wood,NA,AMS14C,45,NA,227,228
245.5,4705,mixed macros,NA,AMS14C,50,NA,245,246
267.5,5490,mixed macros,NA,AMS14C,60,NA,267,268
284.5,6005,wood,NA,AMS14C,25,NA,284,285
304.5,6275,seeds,NA,AMS14C,45,NA,304,305
304.5,6370,seeds,NA,AMS14C,25,NA,304,305
307.5,6160,seeds,NA,AMS14C,25,NA,307,308
320.5,7820,mixed macros,NA,AMS14C,100,NA,320,321
335.5,8110,bark,NA,AMS14C,25,NA,335,336
371.5,8130,bark,NA,AMS14C,45,NA,371,372
376.5,7980,seeds,NA,AMS14C,25,NA,376,377
56,1580,charcoal,x,AMS14C,140,coupled <U+2013> too old,55,57
75.5,1555,wood,x,AMS14C,30,coupled <U+2013> too old,75,76
89.5,1440,wood,x,AMS14C,30,coupled <U+2013> too old,89,90
160.5,3080,bulk,x,AMS14C,35,bulk,160,161
227.5,4315,leaf?,x,AMS14C,45,coupled <U+2013> too old,227,228
246.5,4905,bulk,x,AMS14C,25,bulk,246,247
286.5,6690,bark,x,AMS14C,30,old above young,286,287
286.5,6845,brk,x,AMS14C,35,old above young,286,287
354.5,8850,wood,x,AMS14C,25,old above young,354,355
404.5,6115,roots or stems?,x,AMS14C,30,contaminated?,404,405
