depth (m),age (BP),temperature (degC),Bag (missing),dD (permil)
6.6,38.374,0.88,13,-390.9
7.15,46.812,1.84,14,-385.1
7.7,55.056,3.04,15,-377.8
8.25,64.415,0.35,16,-394.1
8.8,73.151,-0.42,17,-398.7
9.35,81.932,0.05,18,-395.9
9.9,90.759,0.05,19,-395.9
10.45,99.97,-0.52,20,-399.3
11,109.889,0.79,21,-391.4
11.55,119.259,-0.55,22,-399.5
12.1,129.404,-1.11,23,-402.9
12.65,139.939,0.38,24,-393.9
13.2,150.102,-0.4,25,-398.6
13.75,160.58,1.05,26,-389.8
14.3,171.018,0.28,27,-394.5
14.85,181.445,-0.72,28,-400.5
15.4,191.483,-1.23,29,-403.6
15.95,201.872,0.51,30,-393.1
16.5,212.186,-2.44,31,-410.9
17.05,223.163,0.42,32,-393.6
17.6,233.739,0.84,33,-391.1
18.15,244.641,0.71,34,-391.9
18.7,255.5,-0.02,35,-396.3
19.25,266.612,-0.14,36,-397
19.8,277.771,-1.41,37,-404.7
20.35,289.25,-0.34,38,-398.2
20.9,301.043,0.16,39,-395.2
21.45,312.442,-1.22,40,-403.5
22,323.855,-0.41,41,-398.6
22.55,335.578,-0.59,42,-399.7
23.1,346.881,0.03,43,-396
23.65,358.508,-0.67,44,-400.2
24.2,370.901,-0.9,45,-401.6
24.75,382.874,-1.53,46,-405.4
25.3,395.186,-0.47,47,-399
25.85,407.466,-0.12,48,-396.9
26.4,418.755,0.21,49,-394.9
26.95,430.398,-1.73,50,-406.6
27.5,442.409,0.16,51,-395.2
28.05,454.099,0.14,52,-395.3
28.6,466.125,-0.56,53,-399.5
29.15,478.214,-0.8,54,-401
29.7,490.397,0.42,55,-393.6
30.25,503.057,-2.36,56,-410.4
30.8,515.651,-0.85,57,-401.3
31.35,528.764,-0.36,58,-398.3
31.9,541.609,1.26,59,-388.5
32.45,554.931,0.7,60,-391.9
33,567.754,-0.77,61,-400.8
33.55,580.6,1.4,62,-387.7
34.1,593.511,-0.87,63,-401.4
34.65,606.474,-0.81,64,-401
35.2,619.466,1.46,65,-387.3
35.75,632.049,0.98,66,-390.2
36.3,644.987,0.27,67,-394.5
36.85,658.258,-0.96,68,-401.9
37.4,672.128,-0.61,69,-399.8
37.95,686.651,-0.63,70,-399.9
38.5,700.679,-0.49,71,-399.1
39.05,715.027,-0.96,72,-401.9
39.6,729.278,-1.44,73,-404.8
40.15,744.239,-0.91,74,-401.6
40.7,758.743,-0.1,75,-396.7
41.25,772.407,-0.16,76,-397.1
41.8,785.836,0.32,77,-394.2
42.35,798.901,0.03,78,-395.9
42.9,812.307,0.56,79,-392.7
43.45,824.811,0.94,80,-390.4
