year (AD),age (yr BP),d18O (unitless)
-9580,11530,-31.86
-9590,11540,-31.86
-9600,11550,-31.86
-9610,11560,-31.86
-9620,11570,-31.86
-9630,11580,-31.7137
-9640,11590,-31.69
-9650,11600,-31.69
-9660,11610,-31.69
-9670,11620,-31.69
-9680,11630,-31.69
-9690,11640,-31.8478
-9700,11650,-32.35
-9710,11660,-32.35
-9720,11670,-32.35
-9730,11680,-32.35
-9740,11690,-32.35
-9750,11700,-32.35
-9760,11710,-33.5371
-9770,11720,-33.75
-9780,11730,-33.75
-9790,11740,-33.8434
-9800,11750,-34.07
-9810,11760,-34.07
-9820,11770,-34.07
-9830,11780,-33.7604
-9840,11790,-33.64
-9850,11800,-33.64
-9860,11810,-33.6478
-9870,11820,-33.7
-9880,11830,-33.7
-9890,11840,-33.7
-9900,11850,-34.3794
-9910,11860,-35.01
-9920,11870,-35.01
-9930,11880,-35.01
-9940,11890,-35.1615
-9950,11900,-35.18
-9960,11910,-35.18
-9970,11920,-35.0683
-9980,11930,-34.72
-9990,11940,-34.72
-10000,11950,-34.72
-10010,11960,-34.4542
-10020,11970,-34.26
-10030,11980,-34.26
-10040,11990,-34.26
-10050,12000,-35.6543
-10060,12010,-35.82
-10070,12020,-35.82
-10080,12030,-35.6058
-10090,12040,-35.59
-10100,12050,-35.59
-10110,12060,-35.169
-10120,12070,-35.15
-10130,12080,-35.15
-10140,12090,-35.1665
-10150,12100,-35.38
-10160,12110,-35.38
-10170,12120,-35.38
-10180,12130,-35.5449
-10190,12140,-35.9
-10200,12150,-35.9
-10210,12160,-35.9
-10220,12170,-36.1617
-10230,12180,-36.57
-10240,12190,-36.57
-10250,12200,-36.57
-10260,12210,-36.6894
-10270,12220,-36.84
-10280,12230,-36.84
-10290,12240,-36.84
-10300,12250,-36.0367
-10310,12260,-35.14
-10320,12270,-35.14
-10330,12280,-35.14
-10340,12290,-34.6256
-10350,12300,-34.07
-10360,12310,-34.07
-10370,12320,-34.07
-10380,12330,-34.5652
-10390,12340,-35.13
-10400,12350,-35.13
-10410,12360,-35.13
-10420,12370,-35.4879
-10430,12380,-35.96
-10440,12390,-35.96
-10450,12400,-35.96
-10460,12410,-36.0085
-10470,12420,-36.09
-10480,12430,-36.09
-10490,12440,-36.09
-10500,12450,-36.0958
-10510,12460,-36.11
-10520,12470,-36.11
-10530,12480,-36.11
-10540,12490,-36.0742
-10550,12500,-35.92
-10560,12510,-35.92
-10570,12520,-35.92
-10580,12530,-35.9156
-10590,12540,-35.85
-10600,12550,-35.85
-10610,12560,-35.85
-10620,12570,-35.8714
-10630,12580,-36.14
-10640,12590,-36.14
-10650,12600,-36.14
-10660,12610,-36.14
-10670,12620,-36.149
-10680,12630,-36.15
-10690,12640,-36.15
-10700,12650,-36.15
-10710,12660,-35.9946
-10720,12670,-35.93
-10730,12680,-35.93
-10740,12690,-35.93
-10750,12700,-35.9641
-10760,12710,-36
-10770,12720,-36
-10780,12730,-36
-10790,12740,-36.0147
-10800,12750,-36.06
-10810,12760,-36.06
-10820,12770,-36.06
-10830,12780,-36.06
-10840,12790,-36.8321
-10850,12800,-36.85
-10860,12810,-36.85
-10870,12820,-36.85
-10880,12830,-36.7334
-10890,12840,-36.68
-10900,12850,-36.68
-10910,12860,-36.68
-10920,12870,-36.9223
-10930,12880,-37.33
-10940,12890,-37.33
-10950,12900,-37.33
-10960,12910,-37.2977
-10970,12920,-36.33
-10980,12930,-36.33
-10990,12940,-36.33
-11000,12950,-36.33
