year (AD),age (BP),OM (percent)
1979,-29,3.33
1905,45,2.72
1831,119,3.2
1757,193,2.63
1684,266,3.08
1610,340,2.97
1536,414,3.39
1463,487,3.38
1390,560,5.05
1317,633,3.82
1244,706,3.37
1171,779,3.31
1098,852,3.61
1026,924,3.99
953,997,4.29
881,1069,3.37
809,1141,3.64
738,1212,3.12
666,1284,3.9
595,1355,3.38
525,1425,3.83
454,1496,3.39
384,1566,4.67
315,1635,4.18
245,1705,4.12
176,1774,4.66
108,1842,4.32
39,1911,4.52
-29,1979,4.72
-96,2046,3.89
-165,2115,3.9
-233,2183,4.16
-303,2253,3.7
-373,2323,4.35
-444,2394,4.72
-518,2468,3.53
-592,2542,5.17
-669,2619,4.12
-748,2698,4.45
-830,2780,5.98
-914,2864,5.5
-1001,2951,5.31
-1092,3042,5.2
-1186,3136,5.29
-1283,3233,5.24
-1385,3335,4.7
-1491,3441,4.24
-1601,3551,4.96
-1716,3666,5.98
-1837,3787,6.32
-1962,3912,6.47
-2093,4043,6.35
-2229,4179,6.71
-2372,4322,6.33
-2520,4470,5.41
-2675,4625,6.11
-2834,4784,4.85
-3000,4950,5.64
-3172,5122,5.82
-3350,5300,5.85
-3533,5483,6.58
-3722,5672,6.6
-3916,5866,6.28
-4115,6065,6.18
-4319,6269,6.57
-4527,6477,5.68
-4739,6689,6.25
-4955,6905,6.24
-5174,7124,6.02
-5396,7346,6.62
-5620,7570,6.24
-5847,7797,5.14
-6076,8026,4.33
-6307,8257,4.68
-6539,8489,5.23
-6773,8723,5.59
-7007,8957,5.36
-7241,9191,5.1
-7476,9426,5.62
-7710,9660,5.4
-7943,9893,6.44
-8176,10126,7.08
-8406,10356,6.09
-8635,10585,7.18
-8862,10812,9.74
-9086,11036,9.18
-9307,11257,8.72
-9525,11475,9.54
-9740,11690,8.4
-9951,11901,5.57
-10158,12108,6.45
-10361,12311,5.85
-10560,12510,5.66
-10754,12704,4.08
-10944,12894,3.49
-11309,13259,3.98
-11657,13607,4.25
-11987,13937,2.91
-12302,14252,2.77
-12603,14553,2.95
-12892,14842,2.9
-13174,15124,2.11
-13450,15400,2.13
-13723,15673,2.18
-13995,15945,2.17
-14268,16218,2.25
-14541,16491,2.26
-14814,16764,2.38
-15086,17036,2.74
-15359,17309,2.57
-15632,17582,2.85
-15904,17854,2.38
-16177,18127,2.58
