year (AD),age (yr BP),depth (cm),MJAT_Fortin (degC),MJAT_FortinSE (degC),MJAT_FortinLOWESS (degC),MJAT_FortinAnom (degC),MJAT_Fortin_AnomLOWESS (degC),MJAT_Barley (degC),MJAT_BarleySE (degC),MJAT_BarleyLOWESS (degC),MJAT_BarleyAnom (degC),MJATBarleyAnomLOWESS (degC)
2007,-57,0.5,14.45,0.498,14.26,0,-0.19,14.99,0.395,14.93,0,-0.06
1929,21,6.5,13.75,0.493,14.49,-0.69,0.04,14.85,0.384,14.74,-0.13,-0.25
1850,100,12.5,16.15,0.477,14.72,1.7,0.28,14.57,0.382,14.57,-0.41,-0.42
1769,181,18.5,14.73,0.367,14.98,0.28,0.53,14.05,0.256,14.43,-0.94,-0.56
1687,263,24.5,13.61,0.331,15.25,-0.84,0.81,13.95,0.296,14.34,-1.04,-0.65
1603,347,30.5,16.91,0.63,15.26,2.47,0.81,15.28,0.422,14.28,0.3,-0.71
1517,433,36.5,16.05,0.515,15.27,1.61,0.82,15.22,0.38,14.26,0.24,-0.72
1429,521,42.5,14.75,0.413,15.43,0.3,0.98,14.21,0.268,14.3,-0.78,-0.68
1347,603,48.5,14.45,0.399,15.41,0,0.96,14.09,0.341,14.26,-0.9,-0.72
1248,702,54.5,16.74,0.489,15.21,2.29,0.77,15.28,0.397,14.14,0.29,-0.85
1155,795,60.5,15.43,0.421,15.15,0.98,0.7,14.27,0.279,14.11,-0.71,-0.88
1059,891,66.5,14.63,0.394,15.21,0.18,0.77,13.61,0.308,14.15,-1.37,-0.83
945,1005,73.5,14.4,0.367,15.36,-0.04,0.91,14.13,0.237,14.33,-0.86,-0.65
859,1091,78.5,15.51,0.455,15.47,1.06,1.02,14.52,0.327,14.49,-0.47,-0.5
769,1181,83.5,16.76,0.485,15.64,2.31,1.2,15.1,0.376,14.63,0.12,-0.36
677,1273,88.5,16.24,0.494,15.82,1.8,1.37,15.03,0.33,14.7,0.04,-0.29
581,1369,93.5,14.79,0.426,15.9,0.34,1.46,14.55,0.34,14.74,-0.43,-0.25
482,1468,98.5,16.32,0.488,15.95,1.87,1.5,14.54,0.36,14.75,-0.45,-0.23
380,1570,103.5,15.54,0.432,16.1,1.09,1.65,14.62,0.338,14.78,-0.36,-0.21
275,1675,108.5,16.37,0.475,16.31,1.92,1.86,15.15,0.378,14.85,0.17,-0.14
167,1783,113.5,16.96,0.555,16.47,2.51,2.02,14.81,0.41,14.93,-0.18,-0.06
57,1893,118.5,17,0.512,16.62,2.56,2.17,15.29,0.395,14.99,0.3,0.01
-56,2006,123.5,15.74,0.445,16.59,1.3,2.14,14.63,0.31,14.98,-0.36,0
-172,2122,128.5,18.64,0.573,16.44,4.19,1.99,15.57,0.501,14.92,0.59,-0.07
-290,2240,133.5,16.3,0.444,16.37,1.85,1.92,14.83,0.328,14.87,-0.15,-0.12
-411,2361,138.5,15.37,0.454,16.29,0.92,1.84,14.55,0.391,14.8,-0.44,-0.18
-533,2483,143.5,16.94,0.502,16.03,2.5,1.58,14.8,0.39,14.71,-0.19,-0.28
-659,2609,148.5,16.32,0.533,15.82,1.87,1.38,14.81,0.374,14.66,-0.17,-0.32
-786,2736,153.5,13.85,0.439,15.68,-0.6,1.24,14.26,0.292,14.65,-0.73,-0.33
-917,2867,158.5,15.41,0.53,15.53,0.96,1.08,14.61,0.432,14.62,-0.38,-0.37
-1050,3000,163.5,15.73,0.537,15.37,1.28,0.92,14.86,0.46,14.51,-0.12,-0.47
-1341,3291,171.5,15.14,0.468,14.94,0.69,0.5,14.34,0.345,14.24,-0.65,-0.75
-1532,3482,176.5,14.86,0.525,14.79,0.42,0.34,13.95,0.49,14.12,-1.04,-0.86
-1734,3684,181.5,13.58,0.387,14.69,-0.87,0.24,13.57,0.327,14.02,-1.42,-0.97
-1944,3894,186.5,14.65,0.455,14.77,0.2,0.32,14.02,0.377,14.01,-0.97,-0.97
