depth (cm),age (bp),Temp (Â°c),error (c)
0,777,12.6832,1.44201
10,800,13.1665,1.43724
44,910,12.8663,1.4453
50,942,12.6611,1.44178
60,1011,12.8231,1.43337
75,1157,12.7081,1.43026
85,1289,12.7438,1.43889
95,1448,12.9777,1.44241
105,1632,12.9322,1.44165
115,1837,12.7296,1.43562
125,2059,12.9535,1.44582
135,2294,13.093,1.44912
145,2539,12.6498,1.44408
155,2790,12.8094,1.49513
165,3042,13.1607,1.42788
175,3293,12.8166,1.45122
185,3538,12.4983,1.4495
195,3773,13.2044,1.45359
205,3995,12.4865,1.48683
215,4198,12.3195,1.46523
225,4377,13.1662,1.46003
235,4534,12.818,1.46604
245,4678,13.1189,1.44334
255,4818,13.0317,1.44534
265,4962,13.3199,1.45149
275,5117,13.5081,1.44142
285,5281,13.1144,1.44344
295,5449,12.9028,1.46059
305,5616,13.3068,1.46198
315,5779,13.0571,1.43327
325,5932,12.2815,1.43938
335,6079,12.4962,1.43111
345,6228,12.2973,1.46731
355,6390,12.9272,1.45898
365,6572,13.253,1.44403
375,6780,13.0044,1.44568
385,7012,12.0447,1.4901
395,7267,13.525,1.44217
405,7541,12.8403,1.44443
415,7835,13.3498,1.42989
425,8145,12.5683,1.44828
435,8467,12.8987,1.44377
465,9448,13.4638,1.44883
475,9761,12.5212,1.44927
485,10060,13.3198,1.44796
495,10341,12.3546,1.46183
505,10603,11.5855,1.47165
515,10840,10.0388,1.55304
520,10949,11.0763,1.44847
