depth (cm),age (bp),Temp (c)
0,-48,13.9251
0.5,13.000019,11.9775
1.5,74.000038,11.9667
2.5,135.000057,12.2793
3.5,196.000076,13.8597
4.5,257.000095,13.3699
5.5,318.000114,12.737
6.5,379.000133,14.6024
7.5,440.000152,14.0426
8.5,501.000171,13.0009
9.5,562.00019,13.5348
10.5,623.000209,13.1041
11.5,684.000228,12.257
12.5,745.000247,13.08
13.5,806.000266,14.996
14.5,867.000285,13.9083
15.5,928.000304,14.0203
16.5,989.000323,13.8223
17.5,1050.000342,15.8242
18.5,1111.000361,15.3717
19.5,1172,17.1148
20.5,1263.259262,15.4033
21.5,1354.518524,14.7252
22.5,1445.777786,17.6213
23.5,1537.037048,14.3146
24.5,1628.29631,13.2018
25.5,1719.555572,12.5284
26.5,1810.814834,14.6245
27.5,1902.074096,15.364
28.5,1993.333358,17.0777
29.5,2084.59262,15.5376
30.5,2175.851882,14.5281
31.5,2267.111144,17.0045
32.5,2358.370406,16.7689
33.5,2449.629668,16.5204
34.5,2540.88893,16.3981
35.5,2632.148192,15.7075
36.5,2723.407454,16.7358
37.5,2814.666716,16.7105
38.5,2905.925978,15.1427
39.5,2997.18524,15.8662
40.5,3088.444502,16.4946
41.5,3179.703764,15.3994
42.5,3270.963026,16.4258
43.5,3362.222288,16.164
44.5,3453.48155,17.0275
45.5,3544.740812,17.3914
46.5,3636,15.6545
47.5,3792,16.8853
48.5,3948.240005,14.7068
49.5,4104.48001,15.5172
50.5,4260.720015,16.343
51.5,4416.96002,15.4284
52.5,4573.200025,15.9267
53.5,4729.44003,14.8414
54.5,4885.680035,15.1865
55.5,5041.92004,16.2517
56.5,5198.160045,15.255
57.5,5354.40005,14.7253
58.5,5510.640055,14.0782
59.5,5604,13.1943
60.5,5633.294117,15.891
61.5,5662.588234,14.8596
62.5,5691.882351,14.0767
63.5,5721.176468,14.744
64.5,5750.470585,14.0449
65.5,5779.764702,14.0278
66.5,5809.058819,14.9652
67.5,5838.352936,12.6657
68.5,5867.647053,13.7607
69.5,5896.94117,15.3421
70.5,5926.235287,13.6652
71.5,5955.529404,15.6441
72.5,5984.823521,15.4009
73.5,6014.11763800001,13.5398
74.5,6043.41175500001,14.0128
75.5,6072.70587200001,15.7423
76.5,6101.99998900001,14.1303
77.5,6131.29410600001,13.598
78.5,6160.58822300001,13.8502
79.5,6189.88234000001,15.3131
80.5,6219.17645700001,15.2374
81.5,6248.47057400001,15.0303
82.5,6277.76469100001,14.8544
83.5,6307.05880800001,15.2197
84.5,6336.35292500001,14.9244
85.5,6365.64704200001,14.6274
86.5,6394.94115900001,14.3877
87.5,6424.23527600001,13.3858
88.5,6453.52939300001,13.5095
89.5,6482.82351000001,14.7236
90.5,6512.11762700001,12.1323
91.5,6541.41174400001,12.4353
92.5,6570.70586100001,12.7243
93.5,6599.99997800001,11.9665
94.5,6629.29409500001,10.2914
95.5,6658.58821200001,11.0634
96.5,6687.88232900001,14.5909
97.5,6717.17644600001,12.5703
