thisShouldntBeEmpty (),d18O (permil),year (AD),d18O ()
-36.65,-34.57,1973,-32.41
-35.78,-34.81,1972,-32.68
-34.78,-33.69,1971,-32.33
-35.72,-33.68,1970,-31.89
-34.55,-33.11,1969,-31.66
-37.91,-35,1968,-32.72
-38.19,-36.29,1967,-33.75
-35.36,-33.66,1966,-30.67
-36.6,-34.31,1965,-33.49
-34.88,-34.05,1964,-32.2
-35.74,-34.04,1963,-33.11
-35.13,-33.95,1962,-32.06
-35.47,-33.25,1961,-31.74
-37.15,-34.64,1960,-32.13
-34.42,-34.88,1959,-33.58
-35.53,-33.77,1958,-32.58
-35.72,-34.69,1957,-33.61
-35.05,-33.68,1956,-33.05
-34.26,-34.15,1955,-33.18
-38.07,-33.66,1954,-30.84
-36.93,-32.83,1953,-28.16
-38.52,-34.94,1952,-32.25
-36.37,-35.15,1951,-32.97
-37.27,-33.74,1950,-29.88
-35.84,-34.36,1949,-32.41
-35.53,-33.73,1948,-31.96
-34.36,-32.45,1947,-30.59
-33.25,-31.63,1946,-29.36
-36.65,-32.41,1945,-30.37
-38.29,-35.41,1944,-32.47
-37.22,-32.97,1943,-26.74
-33.88,-33.28,1942,-31.3
-39.47,-33.87,1941,-31.07
-33.28,-34.53,1940,-32.83
-36.88,-33.3,1939,-31.94
-35.24,-33.71,1938,-32.19
-38.65,-35.15,1937,-32.56
-37.28,-33.44,1936,-28.21
-35.7,-33.47,1935,-30.87
-34.92,-32.82,1934,-28.95
-35.57,-32.63,1933,-31.02
-36.67,-32.34,1932,-28.33
-36.65,-31.41,1931,-26.77
-37.62,-34.17,1930,-30.9
-33.44,-30.9,1929,-28
-38.91,-35.34,1928,-32.35
-36.63,-34.24,1927,-31.27
-35.39,-34.04,1926,-31.96
-37.08,-32.82,1925,-29.1
-36.41,-35.56,1924,-34.36
-36.39,-33.48,1923,-30.9
-37.39,-35.97,1922,-34.6
-36.23,-36.06,1921,-34
-40.9,-34.91,1920,-32.16
-37.38,-33.26,1919,-28.65
-37.45,-34.49,1918,-31.08
-35.14,-33.42,1917,-31.29
-35.74,-32.84,1916,-30.18
-36.93,-34.06,1915,-31.68
-39.59,-34.23,1914,-30
-39.54,-36.07,1913,-32.67
-34.63,-33.81,1912,-30.03
-36.29,-33.7,1911,-32.04
-38.49,-34.53,1910,-31.71
-36.35,-33.95,1909,-29.71
-34.82,-32.1,1908,-28.99
-40.72,-35.69,1907,-32.71
-39.63,-36.48,1906,-31.46
-41.64,-36.38,1905,-33.1
-38.74,-34.89,1904,-30.1
-38.31,-35.38,1903,-31.89
-36.19,-32.58,1902,-28.46
-35.75,-33.98,1901,-32.25
-39.48,-35.74,1900,-33.02
-35.97,-34.22,1899,-31.26
-38.62,-34.11,1898,-31.09
-36.89,-34.86,1897,-31.82
-36.59,-34.14,1896,-31.64
-35.5,-32.89,1895,-29.86
-38.64,-33.24,1894,-28.6
-35.2,-32.44,1893,-28.92
-36.62,-33.96,1892,-31.36
-37.34,-33.67,1891,-30.33
-37.98,-34.72,1890,-31.63
-38.68,-33.92,1889,-29.77
-35.17,-33.37,1888,-30.75
-38.17,-33.8,1887,-30.95
-40.12,-35.75,1886,-31.84
-40.52,-35.82,1885,-31.28
-37.73,-35.3,1884,-31.95
-38.33,-34.69,1883,-30.7
-39.85,-35.53,1882,-31.79
-37.87,-36.23,1881,-33.76
-36.09,-32.37,1880,-28.67
-36.44,-35.09,1879,-33.74
-37.1,-34.08,1878,-31.54
-38.08,-34.67,1877,-30.95
-35.14,-33.3,1876,-31.38
-35.01,-33.05,1875,-30.85
-40.13,-33.31,1874,-28.52
-34.63,-34.28,1873,-32.05
-36.52,-31.97,1872,-28.51
-37.33,-33.97,1871,-30.04
-41.37,-33.95,1870,-29.7
-35.98,-36.41,1869,-33.55
-33.78,-33.9,1868,-33.1
-37.93,-33.45,1867,-31.6
-36.58,-34.12,1866,-30.72
-35.87,-34.06,1865,-32.29
-39.14,-34.77,1864,-31.47
-40.1,-36.96,1863,-33.9
-36.99,-34.85,1862,-31.68
-37.48,-34.67,1861,-32.07
-37.63,-35.47,1860,-33.53
-36.72,-35.14,1859,-33.17
-38.22,-35.76,1858,-33.7
-37.86,-34.51,1857,-31.3
-35.19,-34.49,1856,-32.74
-36.45,-33.19,1855,-30.68
-36.92,-34.84,1854,-32.72
-35.51,-34.3,1853,-32.29
-33.87,-32.92,1852,-31.59
-35.26,-32.89,1851,-31.16
-37.37,-34.43,1850,-32.43
-38.39,-35.06,1849,-31.82
-36.73,-34.58,1848,-31.67
-35.05,-33.54,1847,-31.49
-38.07,-34.77,1846,-32.24
-39.04,-34.18,1845,-29.42
-36.18,-33.4,1844,-29.89
-34.79,-33.82,1843,-32.06
-38.8,-32.53,1842,-27.41
-35.05,-32.93,1841,-29.6
-34.82,-32.74,1840,-30.79
-36.24,-33.34,1839,-30.75
-36.55,-32.71,1838,-29.27
-37.96,-33.82,1837,-30.29
-38.51,-36.56,1836,-34.66
-36.28,-34.58,1835,-32.16
-38.5,-33.41,1834,-29.77
-36.34,-35.66,1833,-33.91
-37.18,-33.37,1832,-30
-34.78,-33.39,1831,-30.87
-36.43,-34.29,1830,-33.24
-37.24,-34.49,1829,-31.9
-36.46,-33.9,1828,-30.99
-37.68,-33.61,1827,-30.21
-39.73,-35.97,1826,-32.8
-38.58,-33.87,1825,-28.95
-35.47,-35.48,1824,-33.78
-39.2,-36.32,1823,-35.48
-42.14,-33.86,1822,-26.84
-36.22,-35.28,1821,-31.65
-36.17,-32.51,1820,-28.9
-39.61,-34.09,1819,-30.78
-38.19,-35.24,1818,-31.14
-38.23,-35.02,1817,-31.61
-37.55,-33.16,1816,-29.04
-36.13,-34.33,1815,-31.69
-40.04,-34.73,1814,-31.58
-39.18,-36.41,1813,-33.84
-37.22,-35.63,1812,-33.69
-39.43,-34.91,1811,-30.76
-35.7,-34.65,1810,-30.58
-36.6,-33.62,1809,-31.71
-35.71,-33.68,1808,-31.43
-37.58,-34.84,1807,-32.54
-36.89,-34.61,1806,-32.03
-34.81,-31.75,1805,-28.21
-37.51,-34.08,1804,-31.88
-39.57,-35.02,1803,-31.61
-36.05,-37.7,1802,-36.56
-37.27,-33,1801,-29.07
-34.76,-33.11,1800,-30.67
-35.76,-31.71,1799,-28.03
-36.07,-33.81,1798,-31.77
-36.55,-34.61,1797,-32.28
-37.89,-34.5,1796,-32.24
-37.51,-34.75,1795,-32.21
-37.87,-33.59,1794,-29.7
-38.65,-35.64,1793,-32.39
-36.53,-33.9,1792,-30.6
-39.62,-33.8,1791,-28.56
-36.45,-33.23,1790,-29.16
-36.24,-34.85,1789,-32.53
-37.57,-33.55,1788,-30.42
-34.43,-33.31,1787,-30
-37.49,-32.27,1786,-30.02
-35.65,-34.18,1785,-32.37
-36.39,-35.12,1784,-32.95
-37.78,-32.95,1783,-29.42
-36.09,-33.49,1782,-29.74
-38.02,-34.48,1781,-32.27
-34.89,-34.39,1780,-32.86
-38.05,-33.64,1779,-30.46
-39.09,-36.72,1778,-34.55
-36.31,-34.79,1777,-32.26
-38.6,-33.64,1776,-29.99
-34.87,-33.64,1775,-30.54
-36.41,-34.18,1774,-33.2
-37.48,-36.02,1773,-34.5
-33.01,-33.38,1772,-32.11
-38.17,-33.13,1771,-30.72
-39.12,-35.49,1770,-31.98
-36.05,-35.29,1769,-32.97
-36.57,-33.24,1768,-30.3
-35.9,-34.68,1767,-33.2
-36.33,-33.54,1766,-30.96
-35.12,-33.2,1765,-30.55
-36.01,-32.12,1764,-28.98
-37.44,-33.15,1763,-28.83
-37.45,-33.34,1762,-29.5
-39.36,-35.12,1761,-31.64
-35.63,-33.76,1760,-30.77
-38.49,-35.83,1759,-34.01
-37.12,-35.35,1758,-32.75
-37.67,-34,1757,-30.82
-39.26,-35.54,1756,-31.88
-36.4,-33.6,1755,-30.34
-37.07,-34.9,1754,-32.8
-35.99,-33.28,1753,-30.22
-36.08,-33.49,1752,-30.73
-36.92,-33.9,1751,-31.66
-38.3,-34.65,1750,-30.31
-39.12,-35.42,1749,-32.6
-34.31,-33.29,1748,-31.43
-38.5,-34.97,1747,-32.46
-37.69,-33.37,1746,-29.01
-35.64,-34.88,1745,-33.31
-37.32,-35.07,1744,-33.42
-37.38,-34.76,1743,-32.35
-36.68,-33.37,1742,-29.99
-39.74,-34.89,1741,-31.55
-34.28,-33.6,1740,-31.85
-36.83,-32.98,1739,-30.09
-39.5,-35.61,1738,-32.76
-39.62,-36.11,1737,-32.07
-35.74,-33.44,1736,-30.58
-40.25,-36.37,1735,-32.89
-35.84,-35.24,1734,-32.99
-36.07,-32.5,1733,-29.6
-35.09,-33.91,1732,-31.91
-33.39,-32.1,1731,-29.77
-34.6,-33.17,1730,-32.62
-34.55,-31.77,1729,-29.28
-35.33,-33.36,1728,-31.39
-35.89,-32.14,1727,-29.01
-36.58,-34.06,1726,-31.53
-37.06,-33.25,1725,-29.85
-40.14,-35.1,1724,-31.13
-38.55,-34.58,1723,-30.1
-36.11,-34.45,1722,-30.81
-38.68,-34.73,1721,-33.32
-37.16,-34.24,1720,-30.61
-36.92,-34.71,1719,-32.29
-37.58,-33.35,1718,-29.62
-33.12,-35.27,1717,-34.14
-35.26,-31.65,1716,-29.08
-37.2,-33.59,1715,-30.38
-35.12,-34.04,1714,-30.68
-37.14,-32.35,1713,-30.13
-35.63,-33.73,1712,-31.43
-36.23,-32.07,1711,-28.11
-33.16,-33.17,1710,-31.42
-36.94,-32.98,1709,-30.58
-36.35,-34.45,1708,-32.32
-37.82,-34.5,1707,-31.74
-36.4,-34.37,1706,-31.9
-39.92,-34.92,1705,-31.16
-38.4,-34.59,1704,-29.83
-40.24,-34.83,1703,-30.19
-36.93,-34.62,1702,-31.67
-38.41,-34.57,1701,-31.67
-35.67,-33.35,1700,-29.76
-37.49,-33.98,1699,-30.94
-36.15,-35,1698,-33.57
-37.7,-35.28,1697,-33.51
-37.01,-35.57,1696,-34.04
-36.28,-34.27,1695,-31.85
-37.09,-34.53,1694,-32.51
-37.95,-35.24,1693,-32.73
-36.38,-34.49,1692,-31.99
-38.41,-34.72,1691,-31.32
-36.63,-34.91,1690,-32.76
-40.28,-35.55,1689,-32.57
-38.86,-35.26,1688,-30.84
-35.87,-34.72,1687,-32.69
-36.98,-34.51,1686,-32.54
-36.83,-33.53,1685,-29.73
-32.62,-32.05,1684,-30.28
-35.79,-32.75,1683,-30.48
-38.08,-34.77,1682,-32.1
-38.14,-34.74,1681,-31.35
-40.13,-36.88,1680,-33.8
-36.85,-33.86,1679,-30.9
-36.64,-34.5,1678,-31.65
-38.96,-34.93,1677,-31.96
-35.54,-35.6,1676,-33.66
-34.16,-32.02,1675,-29.5
-33.36,-31.92,1674,-30.06
-37.25,-33.38,1673,-31.18
-36.08,-34,1672,-31.53
-39.09,-35.74,1671,-33.53
-36.37,-34.42,1670,-31.04
-37.15,-34.99,1669,-32.86
-40.26,-35.27,1668,-31.67
-33.67,-31.67,1667,-26.22
-35.37,-32.03,1666,-30.05
-35,-32.99,1665,-30.62
-37.51,-34.23,1664,-32.04
-33.86,-32.51,1663,-30.18
-37.73,-34.01,1662,-31.92
-37.24,-35.07,1661,-32.62
-35.61,-34.25,1660,-32.38
-38.86,-34.38,1659,-31.08
-36.22,-34.14,1658,-31.35
-33.34,-31.94,1657,-29.59
-40.5,-33.4,1656,-29.46
-35.79,-34.88,1655,-31.55
-37.61,-35.63,1654,-33.73
-38.1,-34.07,1653,-30.74
-36.45,-33.53,1652,-29.94
-36.49,-33.95,1651,-31.24
-34.51,-34.44,1650,-32.93
-33.77,-32.32,1649,-30.96
-35.08,-33.96,1648,-33.3
-36.57,-34.63,1647,-33.62
-35.82,-33.31,1646,-29.8
-37.15,-33.54,1645,-31.34
-39.07,-35.57,1644,-31.65
-37.66,-35.3,1643,-33.21
-40.98,-36.07,1642,-31.86
-35.97,-34.86,1641,-31.61
-36.98,-34.23,1640,-32.66
-34.93,-33.75,1639,-31.54
-39.06,-33.8,1638,-29.97
-38.7,-34.4,1637,-30.4
-40.12,-36.22,1636,-32.1
-35.83,-33.69,1635,-31.28
-39.83,-33.61,1634,-28.65
-38.96,-34.69,1633,-29.62
-36.8,-35.63,1632,-33.85
-38.97,-34.79,1631,-31.35
-35.37,-34.36,1630,-31.34
-37.54,-32.58,1629,-28.88
-36.21,-33.12,1628,-29.8
-35.72,-34.6,1627,-32.93
-37.37,-35.07,1626,-33.58
-38.49,-35.11,1625,-32.14
-37.56,-35.44,1624,-32.55
-36.71,-33.99,1623,-31.21
-36.36,-33.74,1622,-30.8
-34.96,-32.78,1621,-30.37
-37.02,-33.51,1620,-30.78
-35.64,-33.73,1619,-31.17
-34.68,-33.43,1618,-31.82
-36.54,-33.43,1617,-30.66
-38.44,-33.87,1616,-30.5
-35.23,-34.31,1615,-31.87
-36.56,-34.45,1614,-32.64
-35.56,-32.9,1613,-29.87
-34.8,-32.95,1612,-30.66
-36.9,-34.11,1611,-32.24
-35.51,-33.74,1610,-31.31
