d18O (permil),year (AD),Sr_Ca (mmol/mol)
0.58,1890,10.43
0.52,1891,10.42
0.31,1892,10.35
0.36,1893,10.35
0.31,1894,10.24
0.28,1895,10.22
0.42,1896,10.28
0.62,1897,10.31
0.63,1898,10.36
0.53,1899,10.41
0.44,1900,10.17
0.48,1901,10.13
0.44,1902,10.33
0.46,1903,10.38
0.42,1904,10.33
0.54,1905,10.48
0.4,1906,10.33
0.4,1907,10.25
0.48,1908,10.3
0.64,1909,10.36
0.6,1910,10.2
0.61,1911,10.2
0.47,1912,10.23
0.46,1913,10.18
0.53,1914,10.28
0.62,1915,10.24
0.63,1916,10.18
0.51,1917,10.19
0.43,1918,10.2
0.33,1919,10.29
0.27,1920,10.3
0.1,1921,10.2
0.28,1922,10.32
0.52,1923,10.28
0.49,1924,10.23
0.49,1925,10.18
0.48,1926,10.17
0.39,1927,10.38
0.38,1928,10.31
0.43,1929,10.23
0.35,1930,10.1
0.06,1931,10.28
0.25,1932,10.45
0.16,1933,10.33
0.27,1934,10.25
0.3,1935,10.22
0.23,1936,10.32
0.37,1937,10.32
0.46,1938,10.4
0.49,1939,10.39
0.5,1940,10.33
0.43,1941,10.28
0.35,1942,10.2
0.4,1943,10.18
0.25,1944,10.14
0.37,1945,10.14
0.32,1946,10.2
0.31,1947,10.14
0.27,1948,10.12
0.19,1949,10.09
0.41,1950,10.14
0.46,1951,10.1
0.48,1952,10.06
0.43,1953,10.19
0.47,1954,10.25
0.48,1955,10.31
0.47,1956,10.31
0.39,1957,10.23
0.4,1958,10.26
0.47,1959,10.09
0.42,1960,10.3
0.45,1961,10.43
0.37,1962,10.37
0.41,1963,10.17
0.45,1964,10.26
0.36,1965,10.27
0.41,1966,10.23
0.4,1967,10.25
0.42,1968,10.22
0.39,1969,10.21
0.45,1970,10.27
0.51,1971,10.34
0.48,1972,10.2
0.42,1973,10.12
0.35,1974,10.13
0.28,1975,10.16
0.23,1976,10.13
0.4,1977,10.16
0.53,1978,10.24
0.51,1979,10.15
0.48,1980,10.16
0.46,1981,10.17
0.43,1982,10.13
0.43,1983,10.06
0.43,1984,10.11
0.45,1985,10.09
0.43,1986,10.11
0.38,1987,10.18
0.28,1988,10.18
0.5,1989,10.1
0.4,1990,10.07
