dD (permil),year (AD),depth (cm),core (NaN)
-171.9,1998,0.5,MC31
-174.5,1987,2.5,MC31
-171.9,1978,4.5,MC31
-175.1,1969,6.5,MC31
-176,1959,8.5,MC31
-175.8,1950,10.5,MC31
-177.9,1941,12.5,MC31
-176.5,1932,14.5,MC31
-177.4,1923,16.5,MC31
-176.3,1914,18.5,MC31
-176.1,1905,20.5,MC31
-176.7,1896,22.5,MC31
-178.6,1884,24.5,MC31
-177.3,1870,26.5,MC31
-177.4,1857,28.5,MC31
-178.4,1843,30.5,MC31
-178.1,1829,32.5,MC31
-178,1815,34.5,MC31
-176.9,1801,36.5,MC31
-178.5,1788,38.5,MC31
-175.4,1774,40.5,MC31
-176.2,1760,42.5,MC31
-176,1746,44.5,MC31
-176.5,1732,46.5,MC31
-175.7,1718,48.5,MC31
-177.2,1619,1.25,34GGC
-179.7,1588,9,34GGC
-178.4,1555,17,34GGC
-179.5,1490,33,34GGC
-172.4,1458,41,34GGC
-177.1,1425,49,34GGC
-177.8,1393,57,34GGC
-178.9,1360,65,34GGC
-179,1328,73,34GGC
-174.8,1295,81,34GGC
-174.7,1263,89,34GGC
-173.5,1230,97,34GGC
-174.2,1196,105,34GGC
-172.6,1148,113,34GGC
-171.9,1101,121,34GGC
-174.8,1053,129,34GGC
-174.8,1005,137,34GGC
-178,958,145,34GGC
-178.3,910,153,34GGC
-174.2,862,161,34GGC
-179,815,169,34GGC
-174.7,767,177,34GGC
-177.5,719,185,34GGC
-175.1,672,193,34GGC
-176.2,626,201,34GGC
-174,595,209,34GGC
-177,565,217,34GGC
-177,534,225,34GGC
-175.6,503,233,34GGC
-175.2,473,241,34GGC
-173.9,442,249,34GGC
-172.6,411,257,34GGC
-175,381,265,34GGC
-174.8,350,273,34GGC
-174.7,319,281,34GGC
-169.9,289,289,34GGC
-174.9,258,297,34GGC
-173.3,222,305,34GGC
-170.5,162,313,34GGC
-173.9,100,321,34GGC
-175.4,39,329,34GGC
-176.1,-23,337,34GGC
-175.2,-85,345,34GGC
-173.9,-146,353,34GGC
-174.6,-208,361,34GGC
-174.3,-269,369,34GGC
-174.2,-331,377,34GGC
