d18O (permil),year (AD),"depth (mm
)"
-6.12,1984.5,1
-5.85,1984.44,2
-5.91,1984.38,3
-5.72,1984.33,4
-6.18,1984.27,5
-6.27,1984.21,6
-5.99,1984.15,7
-5.62,1984.1,8
-5.55,1984.04,9
-5.62,1983.98,10
-5.94,1983.92,11
-5.77,1983.87,12
-6.17,1983.75,13
-6.19,1983.66,14
-6.02,1983.57,15
-6.17,1983.48,16
-5.6,1983.39,17
-5.6,1983.3,18
-5.85,1983.2,19
-6.2,1983.11,20
-6.41,1983.02,21
-6.5,1982.93,22
-6.51,1982.75,23
-6.56,1982.64,24
-6.5,1982.53,25
-6.21,1982.42,26
-5.81,1982.31,27
-5.9,1982.19,28
-5.79,1982.08,29
-6.14,1981.97,30
-6.5,1981.75,31
-6.28,1981.65,32
-5.94,1981.55,33
-5.95,1981.45,34
-5.58,1981.35,35
-5.38,1981.25,36
-5.54,1981.15,37
-5.41,1981.05,38
-6.25,1980.95,39
-6.43,1980.75,40
-6.24,1980.66,41
-6.25,1980.57,42
-6.23,1980.48,43
-6.07,1980.39,44
-5.94,1980.3,45
-5.75,1980.2,46
-5.75,1980.11,47
-5.8,1980.02,48
-6.12,1979.93,49
-6.32,1979.75,50
-6.34,1979.67,51
-6.25,1979.58,52
-6.03,1979.5,53
-6.08,1979.42,54
-6.11,1979.33,55
-5.78,1979.25,56
-5.72,1979.17,57
-5.75,1979.08,58
-5.91,1979,59
-5.97,1978.92,60
-6.12,1978.75,61
-6.1,1978.64,62
-6.14,1978.53,63
-5.87,1978.42,64
-5.46,1978.31,65
-5.41,1978.19,66
-5.31,1978.08,67
-5.65,1977.97,68
-6.09,1977.75,69
-5.9,1977.66,70
-5.95,1977.57,71
-5.92,1977.48,72
-5.76,1977.39,73
-5.47,1977.3,74
-5.27,1977.2,75
-5.43,1977.11,76
-5.51,1977.02,77
-6.11,1976.93,78
-6.4,1976.75,79
-6.21,1976.68,80
-6.14,1976.55,90
-6.26,1976.48,91
-5.97,1976.42,92
-5.74,1976.35,93
-6,1976.28,94
-5.58,1976.22,95
-5.48,1976.15,96
-5.69,1976.08,97
-5.6,1976.02,98
-5.81,1975.95,99
-5.99,1975.88,100
-6.21,1975.75,101
-6.13,1975.67,102
-6.24,1975.58,103
-6.05,1975.5,104
-5.92,1975.42,105
-5.6,1975.33,106
-5.75,1975.25,107
-5.68,1975.17,108
-6.04,1975.08,109
-5.99,1975,110
-6.23,1974.92,111
-6.54,1974.75,112
-6.62,1974.69,113
-6.3,1974.64,114
-6.37,1974.58,115
-6.41,1974.53,116
-6.08,1974.47,117
-5.82,1974.42,118
-5.89,1974.36,119
-5.68,1974.31,120
-5.7,1974.25,121
-5.51,1974.19,122
-5.66,1974.14,123
-5.79,1974.08,124
-6.27,1974.03,125
-6.24,1973.97,126
-6.59,1973.92,127
-6.55,1973.86,128
-6.76,1973.75,129
-6.6,1973.64,130
-6.15,1973.53,131
-5.96,1973.42,132
-5.96,1973.31,133
-5.68,1973.19,134
-6.01,1973.08,135
-6.58,1972.97,136
-6.83,1972.75,137
-6.64,1972.67,138
-6.56,1972.58,139
-6.49,1972.5,140
-6.37,1972.42,141
-5.67,1972.33,142
-5.8,1972.25,143
-5.96,1972.17,144
-6,1972.08,145
-6.28,1972,146
-6.44,1971.92,147
-6.52,1971.75,148
-6.4,1971.65,149
-6.21,1971.55,150
-5.69,1971.45,151
-5.66,1971.35,152
-5.82,1971.25,153
-5.94,1971.15,154
-6.19,1971.05,155
-6.32,1970.95,156
-6.5,1970.75,157
-6.16,1970.65,158
-6.4,1970.55,159
-6.2,1970.45,160
-5.75,1970.35,161
-5.56,1970.25,162
-5.79,1970.15,163
-6.04,1970.05,164
-6.19,1969.95,165
-6.34,1969.85,166
-6.48,1969.75,167
-6.1,1969.67,168
-6.3,1969.58,169
-6.26,1969.5,170
-5.98,1969.42,171
-5.66,1969.33,172
-5.23,1969.25,173
-5.44,1969.17,174
-5.42,1969.08,175
-5.58,1969,176
-5.89,1968.92,177
-6.01,1968.83,178
-6.22,1968.75,179
-5.88,1968.65,180
-5.51,1968.55,181
-5.57,1968.45,182
-5.51,1968.35,183
-5.32,1968.25,184
-5.81,1968.15,185
-5.49,1968.05,186
-6,1967.95,187
-6.48,1967.75,188
-6.23,1967.65,189
-6.05,1967.55,190
-6.2,1967.45,191
-5.47,1967.35,192
-5.51,1967.25,193
-5.47,1967.15,194
-5.38,1967.05,195
-6.03,1966.95,196
-6.23,1966.75,197
-6.14,1966.67,198
-5.75,1966.6,199
-5.99,1966.52,200
-5.92,1966.44,201
-5.73,1966.37,202
-5.63,1966.29,203
-5.64,1966.21,204
-5.74,1966.13,205
-5.89,1966.06,206
-5.91,1965.98,207
-6.3,1965.9,208
-6.48,1965.75,209
-6.36,1965.67,210
-6.39,1965.58,211
-6.21,1965.5,212
-5.88,1965.42,213
-5.61,1965.33,214
-5.24,1965.25,215
-5.69,1965.17,216
-5.87,1965.08,217
-6.18,1965,218
-6.36,1964.92,219
-6.39,1964.75,220
-6.24,1964.68,221
-6.16,1964.61,222
-6.19,1964.54,223
-6.05,1964.46,224
-5.97,1964.39,225
-5.88,1964.32,226
-5.8,1964.25,227
-5.78,1964.18,228
-5.96,1964.11,229
-6.1,1964.04,230
-6.03,1963.96,231
-5.94,1963.89,232
-6.75,1963.75,233
-6.57,1963.67,234
-6.55,1963.6,235
-6.54,1963.52,236
-6.24,1963.44,237
-5.91,1963.37,238
-5.69,1963.29,239
-5.29,1963.21,240
-5.61,1963.13,241
-5.66,1963.06,242
-5.96,1962.98,243
-6.29,1962.9,244
-6.53,1962.75,245
-6.4,1962.67,246
-6.44,1962.58,247
-6.18,1962.5,248
-6.09,1962.42,249
-5.63,1962.33,250
-5.53,1962.25,251
-5.46,1962.17,252
-5.46,1962.08,253
-5.79,1962,254
-6.02,1961.92,255
-6.28,1961.75,256
-6.2,1961.67,257
-6.14,1961.6,258
-6.03,1961.52,259
-5.94,1961.44,260
-5.76,1961.37,261
-5.76,1961.29,262
-5.58,1961.21,263
-5.74,1961.13,264
-5.81,1961.06,265
-5.85,1960.98,266
-5.89,1960.9,267
-6.17,1960.75,268
-5.95,1960.67,269
-5.92,1960.58,270
-5.95,1960.5,271
-5.89,1960.42,272
-5.69,1960.33,273
-5.68,1960.25,274
-5.62,1960.17,275
-5.77,1960.08,276
-6.01,1960,277
-6.38,1959.92,278
-6.43,1959.75,279
-6.31,1959.68,280
-6.29,1959.61,281
-6.14,1959.54,282
-6.15,1959.46,283
-6.07,1959.39,284
-5.72,1959.32,285
-5.63,1959.25,286
-5.7,1959.18,287
-5.73,1959.11,288
-5.88,1959.04,289
-6.13,1958.96,290
-6.3,1958.89,291
-6.4,1958.75,292
-6.08,1958.67,293
-5.92,1958.6,294
-6.13,1958.52,295
-5.65,1958.44,296
-5.53,1958.37,297
-5.58,1958.29,298
-5.63,1958.21,299
-5.86,1958.13,300
-6.09,1958.06,301
-6.45,1957.98,302
-6.53,1957.9,303
-6.56,1957.75,304
-6.37,1957.66,305
-6.27,1957.57,306
-6.14,1957.48,307
-5.81,1957.39,308
-5.9,1957.3,309
-5.87,1957.2,310
-5.95,1957.11,311
-5.99,1957.02,312
-6.35,1956.93,313
-6.43,1956.75,314
-6.23,1956.66,315
-5.94,1956.57,316
-5.83,1956.48,317
-5.73,1956.39,318
-5.52,1956.3,319
-5.6,1956.2,320
-5.73,1956.11,321
-5.79,1956.02,322
-5.94,1955.93,323
-6.17,1955.75,324
-6.17,1955.68,325
-6.13,1955.62,326
-5.64,1955.55,327
-6.23,1955.48,328
-6.09,1955.42,329
-5.79,1955.35,330
-5.77,1955.28,331
-5.68,1955.22,332
-5.43,1955.15,333
-5.58,1955.08,334
-5.63,1955.02,335
-6.17,1954.95,336
-6.47,1954.88,337
-6.55,1954.75,338
-6.13,1954.67,339
-6.04,1954.6,340
-5.73,1954.52,341
-5.69,1954.44,342
-5.73,1954.37,343
-5.75,1954.29,344
-5.74,1954.21,345
-5.8,1954.13,346
-5.88,1954.06,347
-6.01,1953.98,348
-5.9,1953.9,349
-6.13,1953.75,350
-6.06,1953.67,351
-5.89,1953.6,352
-5.69,1953.52,353
-5.64,1953.44,354
-5.41,1953.37,355
-5.4,1953.29,356
-5.5,1953.21,357
-5.7,1953.13,358
-5.98,1953.06,359
-6.14,1952.98,360
-6.6,1952.9,361
-6.78,1952.75,362
-6.43,1952.67,363
-6.59,1952.6,364
-6.5,1952.52,365
-6.12,1952.44,366
-5.92,1952.37,367
-6.02,1952.29,368
-5.8,1952.21,369
-5.91,1952.13,370
-6.34,1952.06,371
-6.31,1951.98,372
-6.4,1951.9,373
-6.73,1951.75,374
-6.59,1951.67,375
-6.37,1951.58,376
