year (AD),d18O (permil),d18Osw (permil)
2011,-4.53,0.46
2010,-4.49,0.96
2009,-4.62,0.77
2008,-4.84,0.33
2007,-5.05,-0.03
2006,-5.16,0.16
2005,-5.24,0.2
2004,-5.17,0.17
2003,-5.56,-0.18
2002,-5.64,-0.14
2001,-4.96,0.11
2000,-5.48,-0.2
1999,-5.2,0.11
1998,-5.3,0.41
1997,-5.36,0.29
1996,-5.12,0.41
1995,-5.55,-0.19
1994,-5.07,0.35
1993,-5.3,0.2
1992,-4.73,0.65
1991,-5.07,0.27
1990,-5.42,0.3
1989,-5.66,0.03
1988,-5.07,0.37
1987,-5.29,-0.04
1986,-5.73,0.03
1985,-5.56,-0.32
1984,-5.42,-0.07
1983,-5.43,-0.16
1982,-5.74,-0.39
1981,-5.67,0.18
1980,-5.52,-0.31
1979,-5.2,0.43
1978,-5.51,0.27
1977,-5.55,0.28
1976,-5.55,0.18
1975,-5.43,-0.03
1974,-5.27,0.41
1973,-4.96,0.52
1972,-5.13,0.42
1971,-4.93,0.36
1970,-5.51,0.16
1969,-5,0.73
1968,-5.08,0.8
1967,-5.18,0.22
1966,-4.83,0.64
1965,-4.99,0.54
1964,-5.32,-0.09
1963,-5.12,0.11
1962,-5.27,0.18
1961,-5.02,0.33
1960,-5.2,0.11
1959,-5.43,0.33
1958,-5.01,0.4
1957,-5.09,0.65
1956,-5.28,0.29
1955,-5.29,0.33
1954,-5.08,0.47
1953,-5.22,0.5
1952,-5.27,0.19
1951,-5.3,-0.01
1950,-4.82,0.18
1949,-5.07,-0.05
1948,-5.31,0.2
1947,-5.37,0.08
1946,-5.3,-0.15
1945,-5.43,-0.15
1944,-5.69,-0.21
1943,-5.41,0.32
1942,-5.38,0.06
1941,-5.36,0.2
1940,-5.28,0.27
1939,-5.07,0.25
1938,-4.94,0.45
1937,-4.76,0.73
1936,-4.69,0.94
1935,-4.99,0.53
1934,-4.9,0.17
1933,-4.76,0.76
1932,-5.14,0.34
1931,-5.16,0.5
1930,-5.46,0.08
1929,-5.21,0.38
1928,-5.28,0.42
1927,-5.05,0.53
1926,-5.05,0.61
1925,-5.29,0.33
1924,-4.97,0.5
1923,-4.79,0.45
1922,-4.7,0.67
1921,-4.76,0.49
1920,-4.94,0.41
1919,-4.66,0.85
1918,-4.78,0.68
1917,-4.67,0.84
1916,-4.87,0.88
1915,-4.58,1
1914,-4.81,0.7
1913,-4.95,0.58
1912,-4.88,0.74
1911,-4.9,0.84
1910,-4.72,0.82
1909,-5.09,0.53
1908,-5.23,0.31
1907,-4.79,0.63
1906,-4.79,0.57
1905,-5.03,-0.02
1904,-4.86,0.31
1903,-4.75,0.56
1902,-4.98,0.27
1901,-5,0.36
1900,-4.65,0.44
1899,-4.6,0.55
1898,-4.76,0.23
1897,-4.48,0.47
1896,-4.52,0.68
1895,-4.49,0.88
1894,-4.4,0.66
1893,-4.65,0.92
1892,-4.57,0.86
1891,-4.75,0.55
1890,-4.61,0.92
1889,-4.54,1.01
1888,-4.98,0.64
1887,-4.93,0.62
1886,-4.67,0.39
1885,-4.86,0.57
1884,-4.44,1.09
1883,-5.04,0.24
1882,-5.02,0.54
1881,-4.63,0.85
1880,-4.94,0.69
1879,-4.8,0.82
1878,-4.81,0.63
1877,-4.88,0.83
1876,-4.83,0.77
1875,-4.52,0.44
1874,-4.66,0.81
1873,-5.08,0.39
1872,-5.31,0.29
1871,-5.14,0.59
1870,-4.64,0.16
1869,-4.57,0.86
1868,-4.92,0.41
1867,-5.08,0.09
1866,-4.53,0.49
1865,-4.52,0.69
1864,-4.73,0.84
1863,-4.71,0.16
1862,-4.93,0.58
1861,-5.02,0.61
1860,-4.74,0.63
1859,-5,0.68
1858,-5.32,0.59
1857,-5.08,0.41
1856,-4.72,0.31
1855,-4.96,0.54
1854,-4.99,-0.02
1853,-4.81,0.42
