year (AD),d18O (permil),d18O (permil),d18O (permil)
400,-2,-2.37,-1.64
405,-2,-2.36,-1.63
410,-1.99,-2.36,-1.63
415,-1.99,-2.36,-1.62
420,-1.98,-2.35,-1.61
425,-1.97,-2.34,-1.61
430,-1.96,-2.33,-1.6
435,-1.96,-2.32,-1.6
440,-1.95,-2.31,-1.59
445,-1.94,-2.3,-1.58
450,-1.93,-2.3,-1.57
455,-1.92,-2.28,-1.57
460,-1.92,-2.28,-1.56
465,-1.91,-2.27,-1.55
470,-1.9,-2.27,-1.54
475,-1.9,-2.26,-1.53
480,-1.89,-2.26,-1.53
485,-1.89,-2.25,-1.52
490,-1.88,-2.25,-1.52
495,-1.88,-2.25,-1.51
500,-1.87,-2.24,-1.5
505,-1.87,-2.24,-1.5
510,-1.87,-2.25,-1.5
515,-1.87,-2.25,-1.5
520,-1.87,-2.25,-1.5
525,-1.87,-2.26,-1.5
530,-1.88,-2.27,-1.51
535,-1.88,-2.29,-1.52
540,-1.89,-2.31,-1.52
545,-1.9,-2.33,-1.53
550,-1.91,-2.36,-1.54
555,-1.93,-2.4,-1.54
560,-1.95,-2.43,-1.56
565,-1.97,-2.46,-1.56
570,-1.99,-2.49,-1.57
575,-2.02,-2.51,-1.59
580,-2.04,-2.53,-1.61
585,-2.07,-2.55,-1.63
590,-2.1,-2.56,-1.65
595,-2.13,-2.58,-1.68
600,-2.16,-2.6,-1.7
605,-2.19,-2.61,-1.72
610,-2.22,-2.63,-1.74
615,-2.24,-2.64,-1.78
620,-2.25,-2.63,-1.81
625,-2.27,-2.65,-1.84
630,-2.28,-2.65,-1.86
635,-2.28,-2.66,-1.88
640,-2.28,-2.66,-1.88
645,-2.28,-2.66,-1.88
650,-2.28,-2.66,-1.88
655,-2.27,-2.67,-1.87
660,-2.27,-2.67,-1.86
665,-2.26,-2.66,-1.85
670,-2.25,-2.66,-1.84
675,-2.24,-2.65,-1.84
680,-2.24,-2.65,-1.82
685,-2.23,-2.64,-1.81
690,-2.23,-2.64,-1.81
695,-2.23,-2.64,-1.82
700,-2.22,-2.64,-1.81
705,-2.22,-2.66,-1.81
710,-2.22,-2.66,-1.8
715,-2.23,-2.66,-1.8
720,-2.22,-2.66,-1.79
725,-2.22,-2.66,-1.77
730,-2.22,-2.66,-1.77
735,-2.22,-2.66,-1.76
740,-2.21,-2.64,-1.74
745,-2.2,-2.63,-1.73
750,-2.19,-2.62,-1.72
755,-2.18,-2.6,-1.7
760,-2.17,-2.59,-1.68
765,-2.15,-2.57,-1.67
770,-2.13,-2.56,-1.66
775,-2.11,-2.55,-1.65
780,-2.09,-2.53,-1.65
785,-2.06,-2.51,-1.64
790,-2.05,-2.49,-1.63
795,-2.03,-2.47,-1.62
800,-2.02,-2.46,-1.61
805,-2,-2.45,-1.61
810,-1.99,-2.44,-1.6
815,-1.98,-2.42,-1.6
820,-1.98,-2.4,-1.61
825,-1.98,-2.38,-1.61
830,-1.97,-2.36,-1.61
835,-1.97,-2.35,-1.62
840,-1.98,-2.34,-1.62
845,-1.98,-2.34,-1.62
850,-1.98,-2.33,-1.63
855,-1.98,-2.34,-1.63
860,-1.99,-2.34,-1.63
865,-1.99,-2.34,-1.64
870,-1.99,-2.35,-1.64
875,-2,-2.36,-1.65
880,-2,-2.36,-1.65
885,-2.01,-2.37,-1.66
890,-2.02,-2.37,-1.66
895,-2.02,-2.38,-1.67
900,-2.03,-2.39,-1.67
905,-2.03,-2.4,-1.68
910,-2.04,-2.41,-1.68
915,-2.04,-2.41,-1.68
920,-2.05,-2.42,-1.68
925,-2.05,-2.43,-1.68
930,-2.06,-2.44,-1.68
935,-2.06,-2.45,-1.68
940,-2.06,-2.45,-1.67
945,-2.06,-2.46,-1.67
950,-2.06,-2.46,-1.67
955,-2.06,-2.47,-1.66
960,-2.05,-2.47,-1.66
965,-2.05,-2.47,-1.65
970,-2.04,-2.46,-1.65
975,-2.04,-2.45,-1.64
980,-2.04,-2.44,-1.65
985,-2.04,-2.44,-1.64
990,-2.03,-2.43,-1.64
995,-2.03,-2.42,-1.64
1000,-2.02,-2.41,-1.64
1005,-2.02,-2.41,-1.63
1010,-2.01,-2.4,-1.64
1015,-2,-2.39,-1.63
1020,-1.99,-2.38,-1.62
1025,-1.98,-2.38,-1.62
1030,-1.97,-2.37,-1.61
1035,-1.97,-2.37,-1.6
1040,-1.97,-2.37,-1.6
1045,-1.98,-2.37,-1.6
1050,-1.99,-2.38,-1.6
1055,-1.99,-2.38,-1.61
1060,-1.99,-2.39,-1.61
1065,-1.98,-2.38,-1.61
1070,-1.98,-2.38,-1.59
1075,-1.97,-2.37,-1.58
1080,-1.96,-2.37,-1.57
1085,-1.94,-2.36,-1.55
1090,-1.93,-2.35,-1.54
1095,-1.92,-2.35,-1.52
1100,-1.9,-2.33,-1.51
1105,-1.88,-2.32,-1.49
1110,-1.86,-2.3,-1.47
1115,-1.84,-2.28,-1.45
1120,-1.82,-2.26,-1.44
1125,-1.81,-2.24,-1.42
1130,-1.79,-2.22,-1.4
1135,-1.77,-2.21,-1.39
1140,-1.76,-2.19,-1.38
1145,-1.74,-2.17,-1.36
1150,-1.73,-2.14,-1.35
1155,-1.71,-2.12,-1.34
