TSid,dataSetName,archiveType,pub1_authors,pub1_year,pub1_doi,pub2_authors,pub2_year,pub2_doi,originalDataUrl,lat,lon,elevation,siteName,subRegion,minYear,maxYear,proxy,measurementMaterial,variableName,variableNameOriginal,units,description,"paleoDataNotes
",climateVariable,climateVariableDetail,seasonality,direction,basis,calibration_method,inCompilation,useInGlobalHolocene,QC Certification,QC comments,link to lipdverse
LPD315357f3,GISP2.Kobashi.2017,GlacierIce,"Kobashi, Takuro ; Menviel, Laurie ; Jeltsch-Thoemmes, Aurich ; Vinther, Bo M. ; Box, Jason E. ; Muscheler, Raimund ; Nakaegawa, Toshiyuki ; Pfister, Patrik L. ; Doering, Michael ; Leuenberger, Markus ; Wanner, Heinz ; Ohmura, Atsumu",2017,10.1038/s41598-017-01451-7,NA,NA,NA,https://www.ncdc.noaa.gov/paleo/study/22057,72.6,-38.5,3200,GISP2,unassigned,-43,11512,15N/40Ar,NA,temperature,temp,degC,"temp surface air temperature, argon and nitrogen isotopes, , degrees C, , Climate Reconstructions, , ,N,",NA,T,air@surface,1 2 3 4 5 6 7 8 9 10 11 12,positive,NA,NA,Temp12k,TRUE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/GISP2.Kobashi.2017.html
GH39dccbdc,MD952042.Bard.2002,MarineSediment,"Pailler, Delphine ; Bard, Edouard",2002,10.1016/S0031-0182(01)00444-8,NA,NA,NA,NA,37.75,-10.17,-3146,IberianMargin,unassigned,0,110100,alkenone,NA,temperature,SST,degC,inferred seasurface temperature,NA,T,sea@surface,1 2 3 4 5 6 7 8 9 10 11 12,positive,NA,NA,Temp12k,TRUE,NA,"Growth temperatures, but season not specified.",http://lipdverse.org/globalHolocene/0_23_0/MD952042.Bard.2002.html
GH5d4d3b09,MR003-K03-PC01.Harada.2004,MarineSediment,"Harada, Naomi ; Ahagon, Naokazu ; Uchida, Masao ; Murayama, Masafumi",2004,10.1029/2004GC000740,NA,NA,NA,NA,46.32,152.53,NA,Northwest Pacific Ocean,unassigned,580,2020,alkenone,NA,temperature,NA,degC,inferred sea-surface temperature,"PRA1988: T(cultures) (Uk37-0.039)/(0.034), (Prahl et al., (1988) cultures E. huxleyi, 8-25C, n22 R20.994)",T,sea@surface,1 2 3 4 5 6 7 8 9 10 11 12,positive,NA,NA,Temp12k,TRUE,NA,the alkenone temperature of the core top also corresponded to the annual mean temperature.,http://lipdverse.org/globalHolocene/0_23_0/MR003-K03-PC01.Harada.2004.html
GHe0dcf3e9,O2kLR-CapeGhirNWAf.Kim.2006,MarineSediment,"Kim, Jung-Hyun ; Meggers, Helge ; Rimbu, Norel ; Lohmann, Gerrit ; Freudenthal, Tim ; Mueller, Peter J. ; Schneider, Ralph R.",2007,10.1130/G23251A.1,NaN,NA,NA,NA,30.85,-10.2685,NA,"Cape Ghir, NW Africa",unassigned,0,1196.37,alkenone,NA,temperature,NA,degC,inferred sea-surface temperature,"MUE1998: Muller et al. 1998 sediment core top based calibration, n370, R20.958)",T,sea@surface,1 2 3 4 5 6 7 8 9 10 11 12,positive,NA,NA,Temp12k,TRUE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/O2kLR-CapeGhirNWAf.Kim.2006.html
R7iVi9SqggU,165_1002C,MarineSediment,"Herbert, T.D. ; Schuffert, J.D.",2000,10.2973/odp.proc.sr.165.030.2000,"Herbert, T.D. ; Schuffert, J.D.",2000,10.2973/odp.proc.sr.165.017.2000,NA,10.7061,-65.1694,-892.6,165_1002C,NA,690,164970,alkenone,NA,temperature,surface.temp,degC,SST_1_12_degC,NA,T,sea@surface,1 2 3 4 5 6 7 8 9 10 11 12,positive,NA,NA,Temp12k,TRUE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/165_1002C.html
R13y0LBIHBy,GeoB5844_2,MarineSediment,"Arz, Helge W. ; Paetzold, Juergen ; Mueller, Peter J. ; Moammar, Mustafa O.",2003,10.1029/2002PA000864,"Arz, Helge W. ; Lamy, Frank ; Ganopolski, Andrey ; Nowaczyk, Norbert ; Paetzold, Juergen",2007,10.1016/j.quascirev.2006.07.016,NA,27.7135,34.6817,-963,GeoB5844_2,NA,813,21014,alkenone,NA,temperature,surface.temp,degC,SST_1_12_degC,NA,T,surface.temp,1 2 3 4 5 6 7 8 9 10 11 12,NA,NA,NA,Temp12k,TRUE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/GeoB5844_2.html
RFOJiSb8IVR,GIK17940_2,MarineSediment,"Wang, L ; Sarnthein, M ; Erlenkeuser, H ; Grimalt, J ; Grootes, P ; Heilig, S ; Ivanova, E ; Kienast, M ; Pelejero, C ; Pflaumann, U",1999,10.1016/S0025-3227(98)00182-0,"Pelejero, Carles ; Grimalt, Joan O. ; Heilig, Stephanie ; Kienast, Markus ; Wang, Luejiang",1999,10.1029/1998PA900015,NA,20.1167,117.3833,-1727,GIK17940_2,NA,14,41081,alkenone,NA,temperature,surface.temp,degC,SST_degC_Calculated_from_UK'37_Mueller,calculated after Mueller et al. (1998),T,sea@surface,ANN,positive,NA,NA,Temp12k,TRUE-2,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/GIK17940_2.html
R0Cd5zCrTJs,GIK17940_2,MarineSediment,"Wang, L ; Sarnthein, M ; Erlenkeuser, H ; Grimalt, J ; Grootes, P ; Heilig, S ; Ivanova, E ; Kienast, M ; Pelejero, C ; Pflaumann, U",1999,10.1016/S0025-3227(98)00182-0,"Pelejero, Carles ; Grimalt, Joan O. ; Heilig, Stephanie ; Kienast, Markus ; Wang, Luejiang",1999,10.1029/1998PA900015,NA,20.1167,117.3833,-1727,GIK17940_2,NA,14,41081,alkenone,NA,temperature,surface.temp,degC,SST_degC_Calculated_from_UK37_Pelejer,calculated after Pelejero and Grimalt (1997),T,sea@surface,ANN,positive,NA,NA,Temp12k,TRUE-1,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/GIK17940_2.html
RHJ0EBiFhDx,JR244_GC528,MarineSediment,NA,NA,10.1073/pnas.1511252113,NA,NA,10.1016/j.epsl.2017.07.004,NA,-53.01,-58.04,598,JR244_GC528,NA,1000,25440,alkenone,NA,temperature,surface.temp,degC,SST [C],NA,T,sea@surface,NA,positive,NA,NA,Temp12k,TRUE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/JR244_GC528.html
RWUoA3NZNjx,KT05_7_PC_02,MarineSediment,"Kawahata, Hodaka ; Yamamoto, Hisashi ; Ohkushi, Ken'ichi ; Yokoyama, Yusuke ; Kimoto, Katsunori ; Ohshima, Hideki ; Matsuzaki, Hiroyuki",2009,10.1016/j.quascirev.2008.12.009,NA,NA,NA,NA,41,140.7667,-61,KT05_7_PC_02,NA,914,10280,alkenone,NA,temperature,surface.temp,degC,SST_1_12_degC,NA,T,surface.temp,1 2 3 4 5 6 7 8 9 10 11 12,NA,NA,NA,Temp12k,TRUE,NA,NA,http://lipdverse.org/globalHolocene/0_23_0/KT05_7_PC_02.html
