TSid,dataSetName,archiveType,pub1_authors,pub1_year,pub1_doi,pub2_authors,pub2_year,pub2_doi,originalDataUrl,lat,lon,elevation,siteName,subRegion,minYear,maxYear,proxy,measurementMaterial,variableName,units,paleoDataNotes,climateVariable,climateVariableDetail,seasonality,direction,calibration_method,inCompilation,useInGlobalHolocene,QC Certification,QC comments,link to lipdverse
Rwjoz3Y1iEf,117_723A,MarineSediment,"Godad, Shital P. ; Naidu, Pothuri Divakar ; Malmgren, Bjorn A.",2011,10.1016/j.marmicro.2010.09.006,"Naidu, Pothuri Divakar ; Niitsuma, Nobuaki",2011,10.1016/S0031-0182(03)00629-1,,18.0518,57.609,-806,117_723A,,950,19130,,planktic foraminifera calcite,planktic.d18O,permil,,,,,,,,FALSE,,,http://lipdverse.org/globalHolocene/0_25_5/117_723A.html
RL0SCEeYVWU,117_723A,MarineSediment,"Godad, Shital P. ; Naidu, Pothuri Divakar ; Malmgren, Bjorn A.",2011,10.1016/j.marmicro.2010.09.006,"Naidu, Pothuri Divakar ; Niitsuma, Nobuaki",2011,10.1016/S0031-0182(03)00629-1,,18.0518,57.609,-806,117_723A,,500,22260,foraminifera,,temperature,degC,ANN ?? SST_5_degC,T,sea@surface,5,positive,,Temp12k,TRUE,,,http://lipdverse.org/globalHolocene/0_25_5/117_723A.html
RVwo44cKoew,117_723A,MarineSediment,"Godad, Shital P. ; Naidu, Pothuri Divakar ; Malmgren, Bjorn A.",2011,10.1016/j.marmicro.2010.09.006,"Naidu, Pothuri Divakar ; Niitsuma, Nobuaki",2011,10.1016/S0031-0182(03)00629-1,,18.0518,57.609,-806,117_723A,,500,22260,,planktic foraminifera assemblage,temperature,degC,ANN,S,,,,,,FALSE,,,http://lipdverse.org/globalHolocene/0_25_5/117_723A.html
R56JsH0b7h7,161_976,MarineSediment,"Martrat, Belen ; Jimenez-Amat, Patricia ; Zahn, Rainer ; Grimalt, Joan O.",2014,10.1016/j.quascirev.2014.06.016,"Jimenez-Amat, Patricia ; Zahn, Rainer",2014,10.1002/2014PA002710,,36.2054,-4.3127,-1108,161_976,,185,149480,alkenone,UK37,temperature,degC,calculated after Mueller et al. (1998),T,sea@surface,LOOKUP,positive,,,FALSE,RV,fails chronology (> 3000 yr gap). The time series extends to 140 ka. The Holocene is well sampled.,http://lipdverse.org/globalHolocene/0_25_5/161_976.html
RFPqL4xjYcE,161_976,MarineSediment,"Martrat, Belen ; Jimenez-Amat, Patricia ; Zahn, Rainer ; Grimalt, Joan O.",2014,10.1016/j.quascirev.2014.06.016,"Jimenez-Amat, Patricia ; Zahn, Rainer",2014,10.1002/2014PA002710,,36.2054,-4.3127,-1108,161_976,,185,149480,,bulk sediment,C37.concentration,g,,,,,,,,FALSE,,,http://lipdverse.org/globalHolocene/0_25_5/161_976.html
RARmrjSNhwA,161_976,MarineSediment,"Martrat, Belen ; Jimenez-Amat, Patricia ; Zahn, Rainer ; Grimalt, Joan O.",2014,10.1016/j.quascirev.2014.06.016,"Jimenez-Amat, Patricia ; Zahn, Rainer",2014,10.1002/2014PA002710,,36.2054,-4.3127,-1108,161_976,,150,146260,,,label,,,,,,,,,FALSE,,,http://lipdverse.org/globalHolocene/0_25_5/161_976.html
RyCQUjotSaO,161_976,MarineSediment,"Martrat, Belen ; Jimenez-Amat, Patricia ; Zahn, Rainer ; Grimalt, Joan O.",2014,10.1016/j.quascirev.2014.06.016,"Jimenez-Amat, Patricia ; Zahn, Rainer",2014,10.1002/2014PA002710,,36.2054,-4.3127,-1108,161_976,,150,146260,,planktic foraminifera calcite,planktic.d18O,permil,,,,,,,,FALSE,,,http://lipdverse.org/globalHolocene/0_25_5/161_976.html
Rl3oDldpRFu,161_976,MarineSediment,"Martrat, Belen ; Jimenez-Amat, Patricia ; Zahn, Rainer ; Grimalt, Joan O.",2014,10.1016/j.quascirev.2014.06.016,"Jimenez-Amat, Patricia ; Zahn, Rainer",2014,10.1002/2014PA002710,,36.2054,-4.3127,-1108,161_976,,150,146260,,planktic foraminifera calcite,planktic.MgCa,mmol_mol,"cleaning protocol followed Boyle (1983) and Boyle and Keigwin (1985), implementing modifications developed in Barker et al. (2003) and Pena et al. (2005)",,,,,,,FALSE,,,http://lipdverse.org/globalHolocene/0_25_5/161_976.html
RscxCqgnTot,161_976,MarineSediment,"Martrat, Belen ; Jimenez-Amat, Patricia ; Zahn, Rainer ; Grimalt, Joan O.",2014,10.1016/j.quascirev.2014.06.016,"Jimenez-Amat, Patricia ; Zahn, Rainer",2014,10.1002/2014PA002710,,36.2054,-4.3127,-1108,161_976,,150,146260,Mg/Ca,MgCa,temperature,degC,calculated after Elderfield and Ganssen (2000),T,sea@surface,LOOKUP,positive,,,FALSE,RV,fails chronology (> 3000 yr gap). The time series extends to 140 ka. The Holocene is well sampled.,http://lipdverse.org/globalHolocene/0_25_5/161_976.html
RRIPH2mcLOr,165_1002C,MarineSediment,"Herbert, T.D. ; Schuffert, J.D.",2000,10.2973/odp.proc.sr.165.030.2000,"Herbert, T.D. ; Schuffert, J.D.",2000,10.2973/odp.proc.sr.165.017.2000,,10.7061,-65.1694,-892.6,165_1002C,,690,164970,,,label,,,,,,,,,FALSE,,,http://lipdverse.org/globalHolocene/0_25_5/165_1002C.html
RYfbsh7Nj6W,165_1002C,MarineSediment,"Herbert, T.D. ; Schuffert, J.D.",2000,10.2973/odp.proc.sr.165.030.2000,"Herbert, T.D. ; Schuffert, J.D.",2000,10.2973/odp.proc.sr.165.017.2000,,10.7061,-65.1694,-892.6,165_1002C,,690,164970,,bulk sediment,Uk37,,,,,,,,,FALSE,,,http://lipdverse.org/globalHolocene/0_25_5/165_1002C.html
R7iVi9SqggU,165_1002C,MarineSediment,"Herbert, T.D. ; Schuffert, J.D.",2000,10.2973/odp.proc.sr.165.030.2000,"Herbert, T.D. ; Schuffert, J.D.",2000,10.2973/odp.proc.sr.165.017.2000,,10.7061,-65.1694,-892.6,165_1002C,,690,164970,alkenone,,temperature,degC,,T,sea@surface,1 2 3 4 5 6 7 8 9 10 11 12,positive,,Temp12k,TRUE,,,http://lipdverse.org/globalHolocene/0_25_5/165_1002C.html
RHba3kNQVGO,165_1002C,MarineSediment,"Herbert, T.D. ; Schuffert, J.D.",2000,10.2973/odp.proc.sr.165.030.2000,"Herbert, T.D. ; Schuffert, J.D.",2000,10.2973/odp.proc.sr.165.017.2000,,10.7061,-65.1694,-892.6,165_1002C,,690,164970,,bulk sediment,C37.concentration,g,,,,,,,,FALSE,,,http://lipdverse.org/globalHolocene/0_25_5/165_1002C.html
R1NztRm4tmM,165_1002C,MarineSediment,"Herbert, T.D. ; Schuffert, J.D.",2000,10.2973/odp.proc.sr.165.030.2000,"Herbert, T.D. ; Schuffert, J.D.",2000,10.2973/odp.proc.sr.165.017.2000,,10.7061,-65.1694,-892.6,165_1002C,,2000,578000,,,label,,,,,,,,,FALSE,,,http://lipdverse.org/globalHolocene/0_25_5/165_1002C.html
