year (AD) [1-1],depth (cm) [1-1],d18O (permil) [1-1],d18O (permil) [1-1],d18O (permil) [1-1],Mg_Ca (mmol/mol) [1-1],temperature (degC) [1-1],Mg_Ca (mmol/mol) [1-1],temperature (degC) [1-1],d18O (permil) [1-1],year (AD) [1-2],depth (cm) [1-2],Mg_Ca (mmol/mol) [1-2],temperature (degC) [1-2]
-3283.785714,126,0.6930710299,0.2790229427,1.83,1.789,9.75,2.121,9.82,1.92,NA,NA,NA,NA
-3427.642857,128,0.6254376138,0.4873624178,1.66,1.872,10.2,2.473,11.36,1.78,NA,NA,NA,NA
-3571.5,130,0.6425460723,-0.2976990297,1.8,1.774,9.66,2.041,9.44,1.43,NA,NA,NA,NA
-3715.357143,132,0.4005949455,-0.09161592578,1.34,1.952,10.62,1.958,9.03,1.73,NA,NA,NA,NA
-3859.214286,134,0.5014977955,NA,1.81,1.659,9,2.098,9.71,NA,NA,NA,NA,NA
-4003.071429,136,0.6234183136,0.5543937801,1.79,1.766,9.62,2.403,11.08,1.91,NA,NA,NA,NA
-4146.928571,138,0.3310493028,NA,1.78,1.562,8.39,NA,NA,1.69,NA,NA,NA,NA
-4290.785714,140,0.252438475,0.2167852602,1.6,1.633,8.83,2.212,10.25,1.76,NA,NA,NA,NA
-4434.642857,142,0.2832749953,NA,1.92,1.44,7.58,NA,NA,1.49,NA,NA,NA,NA
-4578.5,144,0.2679218539,NA,1.65,1.608,8.68,1.895,8.7,NA,NA,NA,NA,NA
-4673.65625,146,0.2765368515,-0.09658168637,1.89,1.455,7.68,2.078,9.62,1.59,NA,NA,NA,NA
-4768.8125,148,-0.08759048251,-0.03940505447,1.44,1.509,8.05,2.295,10.62,1.42,NA,NA,NA,NA
-4863.96875,150,0.2656022009,-0.09818651099,1.9,1.442,7.59,2.188,10.14,1.47,NA,NA,NA,NA
-4959.125,152,0.1910496104,-0.1377531671,1.61,1.583,8.52,2.21,10.23,1.41,NA,NA,NA,NA
-5054.28125,154,0.1346724381,-0.1428605804,1.86,1.386,7.2,2.019,9.33,1.61,NA,NA,NA,NA
-5149.4375,156,-0.1527651724,0.2687867004,1.47,1.449,7.64,2.508,11.5,1.53,NA,NA,NA,NA
-5244.59375,158,0.2581592915,-0.0672734784,1.86,1.462,7.73,2.179,10.1,1.51,NA,NA,NA,NA
-5339.75,160,-0.02346314846,0.3054453339,1.59,1.454,7.68,2.153,9.98,1.91,NA,NA,NA,NA
-5530.0625,164,0.07410137026,-0.02826841136,1.47,1.598,8.62,2.237,10.36,1.49,NA,NA,NA,NA
-5720.375,168,0.1702841496,0.161865998,1.61,1.568,8.43,2.381,10.98,1.54,NA,NA,NA,NA
-5910.6875,172,-0.008988460599,-0.03464948623,1.47,1.542,8.26,2.107,9.76,1.62,NA,NA,NA,NA
-6101,176,0.171674637,NA,1.69,1.516,8.09,2.085,9.65,NA,NA,NA,NA,NA
-6142.15,180,0.1294485503,0.03905415842,1.62,1.534,8.21,2.215,10.26,1.58,NA,NA,NA,NA
-6183.3,184,0.32372943,0.03900639164,1.52,1.743,9.49,2.336,10.79,1.46,NA,NA,NA,NA
-6224.45,188,0.05618693882,0.04637320119,1.6,1.499,7.98,2.385,11,1.42,NA,NA,NA,NA
-6265.6,192,-0.3234631485,-0.3360490386,1.29,1.455,7.68,2.097,9.71,1.33,NA,NA,NA,NA
-6306.75,196,0.1070425246,-0.3049221419,1.63,1.512,8.07,1.99,9.19,1.48,NA,NA,NA,NA
-6347.9,200,-0.05895069719,0.2961297803,1.39,1.562,8.39,2.461,11.31,1.6,NA,NA,NA,NA
-6389.05,204,0.2186377474,-0.2972138761,1.58,1.622,8.77,1.989,9.18,1.49,NA,NA,NA,NA
-6430.2,208,0.2156617268,-0.3357573707,1.63,1.586,8.54,1.998,9.23,1.44,NA,NA,NA,NA
-6471.35,212,0.3864053343,0.1879005813,1.78,1.6,8.63,2.419,11.14,1.53,NA,NA,NA,NA
-6512.5,216,0.6739509614,NA,1.82,1.782,9.71,2.183,10.11,NA,NA,NA,NA,NA
-6577.404762,220,0.5187400372,-0.2180482387,1.97,1.561,8.38,1.996,9.22,1.56,NA,NA,NA,NA
-6642.309524,224,0.5264053343,0.03719778149,1.92,1.6,8.63,2.233,10.34,1.56,NA,NA,NA,NA
-6707.214286,228,0.6802244981,-0.155035572,2.06,1.61,8.69,2.134,9.89,1.47,NA,NA,NA,NA
-6772.119048,232,0.6477280811,0.2151170556,1.86,1.731,9.42,2.302,10.64,1.67,NA,NA,NA,NA
-6837.02381,236,0.7714977955,-0.3163829804,2.08,1.66,9,1.98,9.14,1.48,NA,NA,NA,NA
-6901.928571,240,0.4721507579,-0.1731838029,1.76,1.675,9.09,2.165,10.03,1.42,NA,NA,NA,NA
-6966.833333,244,0.9454562612,-0.07503557202,1.86,1.974,10.73,2.135,9.89,1.55,NA,NA,NA,NA
-7031.738095,248,0.5346095566,-0.5035946657,1.85,1.656,8.97,1.881,8.63,1.41,NA,NA,NA,NA
-7096.642857,252,0.736744737,0.1172704274,1.86,1.801,9.81,2.185,10.12,1.69,NA,NA,NA,NA
-7161.547619,256,0.9681469378,-0.04166642167,1.77,2.075,11.23,2.293,10.61,1.42,NA,NA,NA,NA
-7226.452381,260,0.6331543311,0.05946478991,1.85,1.729,9.4,2.234,10.35,1.58,NA,NA,NA,NA
-7291.357143,264,0.6396606767,-0.4288641609,1.9,1.695,9.21,2.077,9.61,1.26,NA,NA,NA,NA
-7356.261905,268,0.7790897348,NA,1.85,1.842,10.04,NA,NA,1.61,NA,NA,NA,NA
-7421.166667,272,0.7045424478,-0.2900226963,1.78,1.839,10.02,2.207,10.22,1.26,NA,NA,NA,NA
-7486.071429,276,0.5129738385,NA,1.81,1.669,9.05,2.085,9.66,NA,NA,NA,NA,NA
-7550.97619,280,0.7872704274,0.2624113892,1.84,1.857,10.12,2.546,11.65,1.49,NA,NA,NA,NA
-7615.880952,284,0.7462920908,-0.0872734784,1.97,1.723,9.37,2.181,10.1,1.49,NA,NA,NA,NA
-7680.785714,288,NA,-0.1518663616,1.87,NA,NA,2.129,9.86,1.48,NA,NA,NA,NA
-7745.690476,292,0.841363061,0.1780356682,1.91,1.845,10.05,2.345,10.83,1.59,NA,NA,NA,NA
-7810.595238,296,1.186543431,0.2642285248,1.93,2.13,11.49,2.701,12.24,1.36,NA,NA,NA,NA
-7875.5,300,0.9451170556,0.1221233509,1.88,1.955,10.64,2.259,10.45,1.62,NA,NA,NA,NA
-7893,304,0.9248920372,NA,1.72,2.08,11.26,NA,NA,1.49,NA,NA,NA,NA
-7910.5,308,0.6707913327,0.02585959206,1.81,1.788,9.74,2.221,10.29,1.56,NA,NA,NA,NA
-7928,312,0.8481276498,NA,1.86,1.891,10.3,NA,NA,1.44,NA,NA,NA,NA
-7945.5,316,0.7145161517,-0.1934297523,1.74,1.879,10.24,2.073,9.59,1.5,NA,NA,NA,NA
-7963,320,0.684964428,NA,1.79,1.815,9.89,NA,NA,1.45,NA,NA,NA,NA
-7980.5,324,1.104651211,7.966878628e-4,1.92,2.062,11.17,2.246,10.4,1.51,NA,NA,NA,NA
-7998,328,0.7354453339,NA,1.82,1.831,9.98,NA,NA,1.46,NA,NA,NA,NA
-8015.5,332,0.6394279109,-0.2683295893,1.87,1.717,9.34,2.095,9.7,1.4,NA,NA,NA,NA
-8033,336,0.5994279109,NA,1.83,1.718,9.34,NA,NA,1.51,NA,NA,NA,NA
-8050.5,340,0.7697202542,-0.1154575522,1.95,1.756,9.56,2.163,10.02,1.48,NA,NA,NA,NA
-8063.625,343,0.6088237164,NA,1.86,1.702,9.25,NA,NA,1.59,NA,NA,NA,NA
-8081.125,347,0.6913228464,0.1060720029,1.71,1.884,10.27,2.291,10.6,1.57,NA,NA,NA,NA
-8098.625,351,0.4344444444,NA,1.72,1.676,9.1,NA,NA,1.38,NA,NA,NA,NA
-8116.125,355,1.003810219,-0.10484748,1.95,1.947,10.59,2.062,9.54,1.6,NA,NA,NA,NA
-8133.625,359,0.7225460723,NA,1.88,1.774,9.66,NA,NA,1.4,NA,NA,NA,NA
-8151.125,363,0.9685114223,0.1360720029,2.11,1.785,9.73,2.291,10.6,1.6,NA,NA,NA,NA
-8168.625,367,NA,NA,1.97,NA,NA,NA,NA,1.53,NA,NA,NA,NA
-8186.125,371,NA,NA,1.83,NA,NA,NA,NA,1.38,NA,NA,NA,NA
-8208,376,NA,NA,2.09,NA,NA,NA,NA,1.57,NA,NA,NA,NA
-8225.5,380,0.7316704107,-0.03186636158,1.88,1.78,9.7,2.128,9.86,1.6,NA,NA,NA,NA
-8243,384,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
-8260.5,388,NA,NA,1.79,NA,NA,NA,NA,1.31,NA,NA,NA,NA
-8272.133333,392,NA,NA,2.01,NA,NA,NA,NA,1.64,NA,NA,NA,NA
-8283.766667,396,0.9395420637,0.09545626116,1.99,1.86,10.13,2.321,10.73,1.53,NA,NA,NA,NA
-8295.4,400,NA,NA,1.94,NA,NA,NA,NA,1.67,NA,NA,NA,NA
-8307.033333,404,NA,NA,1.93,NA,NA,NA,NA,1.67,NA,NA,NA,NA
-8318.666667,408,NA,NA,1.85,NA,NA,NA,NA,1.78,NA,NA,NA,NA
-8330.3,412,0.7673693757,0.05317052587,2.03,1.694,9.2,2.152,9.97,1.66,NA,NA,NA,NA
-8341.933333,416,NA,NA,1.85,NA,NA,NA,NA,1.64,NA,NA,NA,NA
-8353.566667,420,NA,NA,1.96,NA,NA,NA,NA,1.64,NA,NA,NA,NA
-8365.2,424,NA,NA,2,NA,NA,NA,NA,1.7,NA,NA,NA,NA
-8376.833333,428,0.6713242014,0.1896120873,1.95,1.682,9.13,2.379,10.97,1.57,NA,NA,NA,NA
-8388.466667,432,NA,NA,1.88,NA,NA,NA,NA,1.66,NA,NA,NA,NA
-8400.1,436,NA,NA,1.86,NA,NA,NA,NA,1.4,NA,NA,NA,NA
-8411.733333,440,NA,NA,2.02,NA,NA,NA,NA,1.43,NA,NA,NA,NA
-8423.366667,444,0.8181336384,-0.1818663616,1.93,1.808,9.86,2.129,9.86,1.45,NA,NA,NA,NA
-8435,448,NA,NA,2.05,NA,NA,NA,NA,1.34,NA,NA,NA,NA
-8467.75,452,0.764964428,0.388227547,1.87,1.815,9.89,2.587,11.81,1.58,NA,NA,NA,NA
-8500.5,456,NA,NA,2,NA,NA,NA,NA,1.49,NA,NA,NA,NA
-8533.25,460,1.059054158,0.3556499611,2.08,1.883,10.26,2.416,11.13,1.7,NA,NA,NA,NA
-8566,464,NA,NA,1.98,NA,NA,NA,NA,1.59,NA,NA,NA,NA
-8598.75,468,1.231399996,-0.07027974584,2.04,2.068,11.2,2.066,9.56,1.63,NA,NA,NA,NA
-8631.5,472,NA,NA,1.93,NA,NA,NA,NA,1.73,NA,NA,NA,NA
-8664.25,476,1.28612978,0.1844663183,2.07,2.091,11.31,2.115,9.8,1.83,NA,NA,NA,NA
-8697,480,NA,NA,1.92,NA,NA,NA,NA,1.78,NA,NA,NA,NA
-8724.219048,484,1.046084292,0.3270236184,1.92,2.009,10.91,2.282,10.56,1.8,NA,NA,NA,NA
-8751.438095,488,NA,NA,2.03,NA,NA,NA,NA,1.83,NA,NA,NA,NA
-8778.657143,492,1.098339441,0.333062439,1.97,2.012,10.92,2.249,10.41,1.84,NA,NA,NA,NA
-8805.87619,496,NA,NA,2.03,NA,NA,NA,NA,1.68,NA,NA,NA,NA
-8833.095238,500,1.242869975,0.286355707,2.02,2.097,11.34,2.194,10.16,1.85,NA,NA,NA,NA
-8860.314286,504,NA,NA,2.01,NA,NA,NA,NA,1.7,NA,NA,NA,NA
-8887.533333,508,1.113521444,0.6324012064,2.01,1.99,10.81,2.423,11.16,1.97,NA,NA,NA,NA
-8914.752381,512,NA,NA,1.97,NA,NA,NA,NA,1.75,NA,NA,NA,NA
-8941.971429,516,NA,0.3357084467,NA,2.078,11.24,2.27,10.51,1.82,NA,NA,NA,NA
-8969.190476,520,NA,NA,1.99,NA,NA,NA,NA,1.76,NA,NA,NA,NA
-8996.409524,524,1.278626494,0.4388968686,2.13,2.03,11.01,2.409,11.1,1.79,NA,NA,NA,NA
-9023.628571,528,NA,NA,2.14,NA,NA,NA,NA,1.94,NA,NA,NA,NA
-9050.847619,532,1.134761001,0.6988968686,2.09,1.939,10.55,2.41,11.1,2.05,NA,NA,NA,NA
-9078.066667,536,NA,NA,2.21,NA,NA,NA,NA,1.89,NA,NA,NA,NA
-9105.285714,540,NA,0.6666454271,NA,2.17,11.68,2.407,11.09,2.02,NA,NA,NA,NA
-9132.504762,544,NA,NA,2.2,NA,NA,NA,NA,2.03,NA,NA,NA,NA
-9159.72381,548,1.064084703,0.4018986608,2.11,1.862,10.15,2.308,10.67,1.85,NA,NA,NA,NA
-9186.942857,552,NA,NA,2.2,NA,NA,NA,NA,1.93,NA,NA,NA,NA
-9214.161905,556,1.568727596,0.4754562612,2.12,2.321,12.35,2.322,10.73,1.91,NA,NA,NA,NA
-9241.380952,560,1.071300936,NA,2.19,1.805,9.83,NA,NA,2.11,NA,NA,NA,NA
-9268.6,564,1.469387748,0.1727861239,2.26,2.086,11.28,1.989,9.18,1.96,NA,NA,NA,NA
-9295.819048,568,NA,NA,NA,1.805,9.84,NA,NA,2.11,NA,NA,NA,NA
-9323.038095,572,1.594299959,0.2727861239,2.34,2.127,11.48,1.988,9.18,2.06,NA,NA,NA,NA
-9350.257143,576,1.495385137,NA,2.34,2.037,11.04,NA,NA,1.87,NA,NA,NA,NA
-9377.47619,580,1.517757746,0.5792860271,2.25,2.139,11.54,2.284,10.57,2.05,NA,NA,NA,NA
-9404.695238,584,1.281322846,0.3365702477,2.3,1.885,10.27,2.072,9.59,2.03,NA,NA,NA,NA
-9440.75,588,0.8909384164,0.2496606767,2.25,1.625,8.78,1.995,9.21,2.03,NA,NA,NA,NA
-9479.75,592,1.450796688,0.2788531505,2.44,1.909,10.4,2.075,9.6,1.97,NA,NA,NA,NA
-9518.75,596,1.36946479,0.3139330623,2.37,1.901,10.35,1.929,8.88,2.17,NA,NA,NA,NA
-9557.75,600,NA,0.5142426293,2.32,NA,NA,1.999,9.23,2.29,NA,NA,NA,NA
-9596.75,604,NA,0.3086993868,NA,NA,NA,1.811,8.25,2.31,NA,NA,NA,NA
-9635.75,608,NA,0.7785114223,NA,NA,NA,2.101,9.73,2.44,NA,NA,NA,NA
-9665,611,NA,0.2862313239,NA,NA,NA,1.931,8.89,2.14,NA,NA,NA,NA
-9704,615,NA,0.516872999,NA,NA,NA,2.045,9.46,2.24,NA,NA,NA,NA
-9743,619,NA,0.7615733763,NA,NA,NA,2.358,10.89,2.16,NA,NA,NA,NA
-9782,623,NA,0.3908271917,NA,NA,NA,1.935,8.91,2.24,NA,NA,NA,NA
-9821,627,1.451548227,0.4158562835,2.4,1.945,10.58,2.126,9.85,2.05,NA,NA,NA,NA
-9860,631,NA,0.2050778581,NA,1.894,10.32,1.991,9.19,1.99,NA,NA,NA,NA
-9899,635,1.430897082,0.654388056,2.47,1.868,10.18,2.261,10.46,2.15,NA,NA,NA,NA
-9918.5,637,1.258133638,0.501363061,2.37,1.809,9.86,2.168,10.05,2.09,NA,NA,NA,NA
