year (AD),thisShouldntBeEmpty (),d18O (permil),d18O ()
1973,-36.65,-34.57,-32.41
1972,-35.78,-34.81,-32.68
1971,-34.78,-33.69,-32.33
1970,-35.72,-33.68,-31.89
1969,-34.55,-33.11,-31.66
1968,-37.91,-35,-32.72
1967,-38.19,-36.29,-33.75
1966,-35.36,-33.66,-30.67
1965,-36.6,-34.31,-33.49
1964,-34.88,-34.05,-32.2
1963,-35.74,-34.04,-33.11
1962,-35.13,-33.95,-32.06
1961,-35.47,-33.25,-31.74
1960,-37.15,-34.64,-32.13
1959,-34.42,-34.88,-33.58
1958,-35.53,-33.77,-32.58
1957,-35.72,-34.69,-33.61
1956,-35.05,-33.68,-33.05
1955,-34.26,-34.15,-33.18
1954,-38.07,-33.66,-30.84
1953,-36.93,-32.83,-28.16
1952,-38.52,-34.94,-32.25
1951,-36.37,-35.15,-32.97
1950,-37.27,-33.74,-29.88
1949,-35.84,-34.36,-32.41
1948,-35.53,-33.73,-31.96
1947,-34.36,-32.45,-30.59
1946,-33.25,-31.63,-29.36
1945,-36.65,-32.41,-30.37
1944,-38.29,-35.41,-32.47
1943,-37.22,-32.97,-26.74
1942,-33.88,-33.28,-31.3
1941,-39.47,-33.87,-31.07
1940,-33.28,-34.53,-32.83
1939,-36.88,-33.3,-31.94
1938,-35.24,-33.71,-32.19
1937,-38.65,-35.15,-32.56
1936,-37.28,-33.44,-28.21
1935,-35.7,-33.47,-30.87
1934,-34.92,-32.82,-28.95
1933,-35.57,-32.63,-31.02
1932,-36.67,-32.34,-28.33
1931,-36.65,-31.41,-26.77
1930,-37.62,-34.17,-30.9
1929,-33.44,-30.9,-28
1928,-38.91,-35.34,-32.35
1927,-36.63,-34.24,-31.27
1926,-35.39,-34.04,-31.96
1925,-37.08,-32.82,-29.1
1924,-36.41,-35.56,-34.36
1923,-36.39,-33.48,-30.9
1922,-37.39,-35.97,-34.6
1921,-36.23,-36.06,-34
1920,-40.9,-34.91,-32.16
1919,-37.38,-33.26,-28.65
1918,-37.45,-34.49,-31.08
1917,-35.14,-33.42,-31.29
1916,-35.74,-32.84,-30.18
1915,-36.93,-34.06,-31.68
1914,-39.59,-34.23,-30
1913,-39.54,-36.07,-32.67
1912,-34.63,-33.81,-30.03
1911,-36.29,-33.7,-32.04
1910,-38.49,-34.53,-31.71
1909,-36.35,-33.95,-29.71
1908,-34.82,-32.1,-28.99
