year (AD),depth (cm),d18O (permil),d18O (permil)
1799.56,0.25,-0.12,-1.57
1784.68,0.75,-0.43,-1.64
1769.8,1.25,0.03,-1.66
1754.92,1.75,-0.2,-1.49
1740.04,2.25,0.04,-1.75
1725.16,2.75,-0.08,-1.62
1710.28,3.25,-0.04,-1.89
1695.4,3.75,-0.12,-1.63
1680.52,4.25,-0.34,-1.67
1665.64,4.75,-0.03,-1.44
1650.76,5.25,-0.13,-2.05
1635.88,5.75,-0.41,-1.74
1621,6.25,-0.14,-1.76
1606.12,6.75,-0.15,-1.63
1591.24,7.25,-0.18,-1.81
1576.36,7.75,-0.18,-1.64
1561.48,8.25,-0.1,-1.9
1546.6,8.75,-0.35,-1.52
1531.72,9.25,-0.16,-1.74
1516.84,9.75,-0.29,-1.51
1501.96,10.25,-0.1,-1.74
1487.08,10.75,-0.19,-1.68
1472.2,11.25,-0.11,-1.62
1457.32,11.75,-0.25,-1.82
1442.44,12.25,-0.25,-1.65
1427.56,12.75,-0.24,-1.58
1412.68,13.25,-0.24,-1.61
1397.8,13.75,-0.31,-1.39
1382.92,14.25,-0.17,-2.24
1368.04,14.75,-0.07,-1.61
1353.16,15.25,0.05,-1.46
1338.28,15.75,-0.36,-1.26
1323.4,16.25,-0.32,-1.63
1308.52,16.75,-0.42,-1.42
1293.64,17.25,-0.08,-1.64
1278.76,17.75,-0.43,-1.73
1263.88,18.25,-0.09,-1.57
1249,18.75,-0.16,-1.55
1234.12,19.25,-0.02,-1.55
1219.24,19.75,-0.13,-1.63
1204.36,20.25,-0.23,-1.56
1189.48,20.75,-0.29,-1.7
1174.6,21.25,-0.28,-1.72
1159.72,21.75,-0.7,-1.88
1144.84,22.25,-0.16,-1.49
1129.96,22.75,-0.27,-1.71
1115.08,23.25,0.13,-1.31
1100.2,23.75,-0.23,-1.45
1085.32,24.25,-0.15,-1.58
1070.44,24.75,-0.3,-1.57
1057.84,25.25,-0.06,-1.29
1047.52,25.75,-0.45,-1.34
1037.2,26.25,-0.23,-1.65
1026.88,26.75,-0.22,-1.51
1016.56,27.25,-0.31,-1.55
1006.24,27.75,-0.24,-1.8
995.92,28.25,-0.4,-1.44
985.6,28.75,0,-1.77
975.28,29.25,-0.25,-1.3
964.96,29.75,NA,NA
954.64,30.25,-0.31,-1.8
944.32,30.75,-0.35,-1.45
934,31.25,-0.13,-1.48
923.68,31.75,-0.1,-1.95
913.36,32.25,NA,NA
903.04,32.75,-0.12,-1.56
892.72,33.25,-0.14,-1.28
882.4,33.75,-0.17,-1.44
872.08,34.25,-0.29,-1.96
861.76,34.75,-0.74,-1.64
851.44,35.25,-0.21,-1.43
841.12,35.75,-0.53,-1.68
830.8,36.25,-0.47,-1.73
820.48,36.75,-0.4,-1.32
810.16,37.25,-0.3,-1.59
799.84,37.75,-0.23,-1.7
789.52,38.25,-0.18,-1.61
779.2,38.75,-0.51,-1.55
768.88,39.25,-0.07,-1.5
758.56,39.75,-0.22,-1.67
748.24,40.25,-0.16,-1.74
737.92,40.75,-0.25,-1.68
727.6,41.25,-0.4,-1.63
717.28,41.75,-0.12,-1.82
706.96,42.25,-0.23,-1.91
696.64,42.75,-0.29,-1.77
686.32,43.25,-0.05,-1.8
676,43.75,-0.17,-1.7
665.68,44.25,-0.37,-1.78
655.36,44.75,-0.25,-1.76
645.04,45.25,-0.24,-1.68
634.72,45.75,-0.28,-1.84
624.4,46.25,-0.12,-1.92
614.08,46.75,-0.01,-1.62
603.76,47.25,-0.28,-1.7
593.44,47.75,-0.25,-1.58
583.12,48.25,-0.14,-1.57
572.8,48.75,-0.04,-1.55
562.48,49.25,-0.01,-1.93
552.16,49.75,-0.11,-1.85
540.67,50.25,-0.4,-1.46
528.01,50.75,-0.19,-1.55
515.35,51.25,-0.19,-1.79
502.69,51.75,-0.19,-1.76
490.03,52.25,-0.28,-1.63
477.37,52.75,-0.09,-1.94
464.71,53.25,-0.41,-1.74
452.05,53.75,-0.25,-2.05
439.39,54.25,-0.1,-2.01
426.73,54.75,-0.44,-1.79
414.07,55.25,-0.16,-1.87
401.41,55.75,-0.19,-1.72
388.75,56.25,-0.17,-1.78
376.09,56.75,-0.19,-1.67
363.43,57.25,-0.3,-1.88
350.77,57.75,-0.23,-1.87
338.11,58.25,-0.68,-1.74
325.45,58.75,-0.24,-1.62
312.79,59.25,-0.18,-1.79
300.13,59.75,-0.29,-1.84
287.47,60.25,-0.3,-1.82
274.81,60.75,-0.56,-1.93
262.15,61.25,-0.28,-1.67
249.49,61.75,-0.2,-1.76
236.83,62.25,-0.25,-1.79
224.17,62.75,-0.54,-1.71
211.51,63.25,-0.34,-1.91
198.85,63.75,-0.35,-2.03
186.19,64.25,-0.25,-1.84
173.53,64.75,-0.18,-1.79
160.87,65.25,-0.19,-1.74
148.21,65.75,-0.35,-1.98
135.55,66.25,-0.25,-1.88
122.89,66.75,-0.25,-1.92
110.23,67.25,-0.27,-1.88
97.57,67.75,-0.26,-1.64
84.91,68.25,-0.41,-1.93
72.25,68.75,-0.36,-1.63
59.59,69.25,-0.3,-2.03
46.93,69.75,-0.38,-1.86
34.27,70.25,-0.05,-1.86
21.61,70.75,-0.3,-2.08
8.95,71.25,-0.28,-1.65
-3.71,71.75,-0.29,-1.98
-16.37,72.25,-0.45,-1.77
-29.03,72.75,-0.21,-1.94
-41.69,73.25,-0.38,-1.72
-54.35,73.75,-0.01,-1.87
-67.01,74.25,-0.37,-1.64
-79.67,74.75,NA,NA
-91.91,75.25,-0.24,-1.96
-103.74,75.75,NA,NA
-109.65,76,-0.24,-1.91
-115.57,76.25,NA,NA
-127.39,76.75,-0.19,-1.24
-139.22,77.25,-0.06,-1.75
-151.05,77.75,-0.32,-1.74
-162.87,78.25,-0.1,-1.66
-174.7,78.75,0.07,-2.09
-186.53,79.25,-0.2,-1.41
-198.35,79.75,-0.18,-1.37
-210.18,80.25,-0.3,-1.43
-222.01,80.75,-0.13,-1.86
-233.83,81.25,-0.29,-1.79
-245.66,81.75,-0.21,-1.31
-257.49,82.25,-0.15,NA
-269.31,82.75,-0.16,-1.63
-281.14,83.25,-0.18,-1.97
-292.97,83.75,0.13,-1.71
-304.79,84.25,-0.17,-1.74
-316.62,84.75,-0.03,-1.71
-328.45,85.25,0.06,-1.56
-340.27,85.75,-0.3,-1.65
-352.1,86.25,-0.01,-1.53
-363.93,86.75,-0.1,-1.74
-375.75,87.25,-0.29,-1.86
-387.58,87.75,-0.26,-1.82
-399.4,88.25,-0.02,-1.8
-411.23,88.75,-0.89,-1.87
-423.06,89.25,-0.31,-1.68
-434.88,89.75,-0.21,-1.97
-446.71,90.25,-0.25,-1.69
-458.54,90.75,-0.29,-2.17
-470.36,91.25,-0.33,-2.15
-482.19,91.75,-0.21,-1.71
-494.02,92.25,-0.43,-1.88
-505.84,92.75,-0.44,-1.91
-517.67,93.25,-0.23,-1.74
-529.5,93.75,-0.22,-1.51
-541.32,94.25,-0.53,-2.09
-553.15,94.75,-0.08,-2.09
-564.98,95.25,-0.37,-1.83
