year (AD),"depth (mm
)",d18O (permil)
1984.5,1,-6.12
1984.44,2,-5.85
1984.38,3,-5.91
1984.33,4,-5.72
1984.27,5,-6.18
1984.21,6,-6.27
1984.15,7,-5.99
1984.1,8,-5.62
1984.04,9,-5.55
1983.98,10,-5.62
1983.92,11,-5.94
1983.87,12,-5.77
1983.75,13,-6.17
1983.66,14,-6.19
1983.57,15,-6.02
1983.48,16,-6.17
1983.39,17,-5.6
1983.3,18,-5.6
1983.2,19,-5.85
1983.11,20,-6.2
1983.02,21,-6.41
1982.93,22,-6.5
1982.75,23,-6.51
1982.64,24,-6.56
1982.53,25,-6.5
1982.42,26,-6.21
1982.31,27,-5.81
1982.19,28,-5.9
1982.08,29,-5.79
1981.97,30,-6.14
1981.75,31,-6.5
1981.65,32,-6.28
1981.55,33,-5.94
1981.45,34,-5.95
1981.35,35,-5.58
1981.25,36,-5.38
1981.15,37,-5.54
1981.05,38,-5.41
1980.95,39,-6.25
1980.75,40,-6.43
1980.66,41,-6.24
1980.57,42,-6.25
1980.48,43,-6.23
1980.39,44,-6.07
1980.3,45,-5.94
1980.2,46,-5.75
1980.11,47,-5.75
1980.02,48,-5.8
1979.93,49,-6.12
1979.75,50,-6.32
1979.67,51,-6.34
1979.58,52,-6.25
1979.5,53,-6.03
1979.42,54,-6.08
1979.33,55,-6.11
1979.25,56,-5.78
1979.17,57,-5.72
1979.08,58,-5.75
1979,59,-5.91
1978.92,60,-5.97
1978.75,61,-6.12
1978.64,62,-6.1
1978.53,63,-6.14
1978.42,64,-5.87
1978.31,65,-5.46
1978.19,66,-5.41
1978.08,67,-5.31
1977.97,68,-5.65
1977.75,69,-6.09
1977.66,70,-5.9
1977.57,71,-5.95
1977.48,72,-5.92
1977.39,73,-5.76
1977.3,74,-5.47
1977.2,75,-5.27
1977.11,76,-5.43
1977.02,77,-5.51
1976.93,78,-6.11
1976.75,79,-6.4
1976.68,80,-6.21
1976.55,90,-6.14
1976.48,91,-6.26
1976.42,92,-5.97
1976.35,93,-5.74
1976.28,94,-6
1976.22,95,-5.58
1976.15,96,-5.48
1976.08,97,-5.69
1976.02,98,-5.6
1975.95,99,-5.81
1975.88,100,-5.99
1975.75,101,-6.21
1975.67,102,-6.13
1975.58,103,-6.24
1975.5,104,-6.05
1975.42,105,-5.92
1975.33,106,-5.6
1975.25,107,-5.75
1975.17,108,-5.68
1975.08,109,-6.04
1975,110,-5.99
1974.92,111,-6.23
1974.75,112,-6.54
1974.69,113,-6.62
1974.64,114,-6.3
1974.58,115,-6.37
1974.53,116,-6.41
1974.47,117,-6.08
1974.42,118,-5.82
1974.36,119,-5.89
1974.31,120,-5.68
1974.25,121,-5.7
1974.19,122,-5.51
1974.14,123,-5.66
1974.08,124,-5.79
1974.03,125,-6.27
1973.97,126,-6.24
1973.92,127,-6.59
1973.86,128,-6.55
1973.75,129,-6.76
1973.64,130,-6.6
1973.53,131,-6.15
1973.42,132,-5.96
1973.31,133,-5.96
1973.19,134,-5.68
1973.08,135,-6.01
1972.97,136,-6.58
1972.75,137,-6.83
1972.67,138,-6.64
1972.58,139,-6.56
1972.5,140,-6.49
1972.42,141,-6.37
1972.33,142,-5.67
1972.25,143,-5.8
1972.17,144,-5.96
1972.08,145,-6
1972,146,-6.28
1971.92,147,-6.44
1971.75,148,-6.52
1971.65,149,-6.4
1971.55,150,-6.21
1971.45,151,-5.69
1971.35,152,-5.66
1971.25,153,-5.82
1971.15,154,-5.94
1971.05,155,-6.19
1970.95,156,-6.32
1970.75,157,-6.5
1970.65,158,-6.16
1970.55,159,-6.4
1970.45,160,-6.2
1970.35,161,-5.75
1970.25,162,-5.56
1970.15,163,-5.79
1970.05,164,-6.04
1969.95,165,-6.19
1969.85,166,-6.34
1969.75,167,-6.48
1969.67,168,-6.1
1969.58,169,-6.3
1969.5,170,-6.26
1969.42,171,-5.98
1969.33,172,-5.66
1969.25,173,-5.23
1969.17,174,-5.44
1969.08,175,-5.42
1969,176,-5.58
1968.92,177,-5.89
1968.83,178,-6.01
1968.75,179,-6.22
1968.65,180,-5.88
1968.55,181,-5.51
1968.45,182,-5.57
1968.35,183,-5.51
1968.25,184,-5.32
1968.15,185,-5.81
1968.05,186,-5.49
1967.95,187,-6
1967.75,188,-6.48
1967.65,189,-6.23
1967.55,190,-6.05
1967.45,191,-6.2
1967.35,192,-5.47
1967.25,193,-5.51
1967.15,194,-5.47
1967.05,195,-5.38
1966.95,196,-6.03
1966.75,197,-6.23
1966.67,198,-6.14
1966.6,199,-5.75
1966.52,200,-5.99
1966.44,201,-5.92
1966.37,202,-5.73
1966.29,203,-5.63
1966.21,204,-5.64
1966.13,205,-5.74
1966.06,206,-5.89
1965.98,207,-5.91
1965.9,208,-6.3
1965.75,209,-6.48
1965.67,210,-6.36
1965.58,211,-6.39
