year (AD),age (BP),d13C (permil),Sr/Ca (mmol/mol),d18O (permil),sample_number (missing)
1913,37,-5.35,0.024,-6.28,1
1848,102,-4.92,0.025,-6.24,2
1783,167,-4.86,0.026,-6.15,3
1718,232,-4.81,0.026,-5.96,4
1653,297,-5.09,0.028,-6.14,5
1588,362,-4.91,0.027,-6.06,6
1523,427,-4.74,0.027,-6.12,7
1458,492,-4.77,0.026,-6.04,8
1393,557,-4.75,0.025,-5.89,9
1328,622,-4.9,0.026,-6.02,10
1262,688,-4.87,0.026,-5.87,11
1115,835,-4.97,0.027,-5.95,11.5
1070,880,-4.82,0.026,-6.04,12
1026,924,-5.12,0.027,-6.17,13
981,969,-4.95,0.027,-6.09,14
936,1014,-5.02,0.027,-6.06,15
892,1058,-5.28,0.027,-6.09,16
847,1103,-5.45,0.026,-6.15,17
803,1147,-5.29,0.027,-6.08,18
758,1192,-5.22,0.027,-6.07,19
712,1238,-5.5,0.026,-6.04,20
666,1284,-5.33,0.026,-6.14,21
619,1331,-5.36,0.026,-6.01,22
572,1378,-5.27,0.026,-5.87,23
526,1424,-5.47,0.026,-5.99,24
479,1471,-5.53,0.026,-5.92,25
432,1518,-5.25,0.025,-5.88,26
386,1564,-5.49,0.026,-5.95,27
339,1611,-5.45,0.027,-6.14,28
292,1658,-5.5,0.028,-6.11,29
246,1704,-5.64,0.026,-6.15,30
199,1751,-5.63,0.027,-6.11,31
152,1798,-5.66,0.026,-5.88,32
106,1844,-5.87,0.026,-6.12,33
59,1891,-5.65,0.027,-6.13,34
12,1938,-5.64,0.024,-6.17,35
-34,1984,-5.96,0.023,-5.87,36
-81,2031,-6.07,0.024,-6.04,37
-128,2078,-6.38,0.022,-6.26,38
-174,2124,-6.51,0.022,-6.14,39
-221,2171,-6.24,0.022,-6.26,40
-255,2205,-6.36,0.022,-6.23,41
-290,2240,-6.35,0.022,-6.1,42
-324,2274,-6.05,0.025,-6.11,43
-358,2308,-6.18,0.024,-6.33,44
-393,2343,-6.5,0.023,-6.15,45
-427,2377,-6.54,0.023,-6.11,46
-462,2412,-6.07,0.025,-6.14,47
-496,2446,-6.23,0.025,-6.22,48
-530,2480,-6.13,0.025,-6.27,49
-565,2515,-6.17,0.025,-6.11,50
-599,2549,-6.13,0.027,-6.16,51
-633,2583,-5.89,0.026,-5.96,52
-668,2618,-5.91,0.026,-5.98,53
-702,2652,-6.11,0.027,-6.09,54
-737,2687,-5.98,0.026,-6.08,55
-771,2721,-6.13,0.026,-6.2,56
-805,2755,-5.78,0.027,-6.13,57
-840,2790,-5.79,0.028,-6.17,58
-874,2824,-5.99,0.028,-6.26,59
-902,2852,-6.17,0.027,-6.2,60
-922,2872,-6.17,0.027,-6.19,61
-943,2893,-6.2,0.027,-6.11,62
-963,2913,-6.16,0.026,-6.33,63
-984,2934,-6.43,0.026,-6.11,64
-1004,2954,-6.45,0.026,-6.57,65
-1025,2975,-5.89,0.026,-6.08,66
-1045,2995,-5.87,0.025,-6.15,67
-1066,3016,-6.28,0.025,-6.24,68
-1086,3036,-6.18,0.025,-6.02,69
-1107,3057,-6,0.026,-6.21,70
-1127,3077,-6.01,0.026,-6.23,71
-1148,3098,-5.98,0.026,-6.06,72
-1168,3118,-5.88,0.025,-5.97,73
-1189,3139,-5.9,0.025,-6.02,74
-1209,3159,-5.78,0.026,-5.83,75
-1230,3180,-5.72,0.026,-6.13,76
-1250,3200,-6.19,0.026,-6.28,77
-1291,3241,-6.34,0.025,-6.67,78
-1291,3241,-6.29,0.026,-6.09,79
-1315,3265,-6.2,0.026,-6.12,80
-1339,3289,-6.07,0.026,-6.05,81
-1362,3312,-6.07,0.025,-5.96,82
-1386,3336,-6.21,0.026,-6.07,83
-1410,3360,-6.33,0.026,-5.99,84
-1434,3384,-6.2,0.026,-6.25,85
-1457,3407,-5.89,0.027,-6.11,86
-1481,3431,-6,0.026,-6.06,87
-1505,3455,-5.9,0.026,-6.05,88
-1529,3479,-5.95,0.025,-6.14,89
-1552,3502,-6.17,0.026,-6.03,90
-1576,3526,-5.86,0.027,-5.93,91
-1600,3550,-5.53,0.026,-6.03,92
-1624,3574,-5.51,0.027,-6.03,93
-1647,3597,-5.48,0.027,-6.14,94
-1671,3621,-5.76,0.027,-6.19,95
-1695,3645,-5.93,0.027,-6.14,96
-1719,3669,-5.65,0.028,-6.15,97
-1742,3692,-5.68,0.027,-6.14,98
-1766,3716,-5.8,0.027,-5.99,99
-1790,3740,-5.82,0.027,-6.23,100
-1813,3763,-5.85,0.026,-6.31,101
-1837,3787,-6,0.026,-6.17,102
-1861,3811,-5.93,0.026,-6.31,103
-1885,3835,-6.11,0.026,-6.5,104
-1908,3858,-6.16,0.026,-6.77,105
-1931,3881,-5.81,0.026,-5.95,106
-1953,3903,-6.01,0.026,-6.24,107
-1976,3926,-5.98,0.026,-6.02,108
