year (AD),age (BP),depth (m),C31dDSmow-ice (permil),MAAT (degC),C31dD (permil),C31dDsd (unitless),C31d13C_PDB (permil),C31d13Csd (unitless),MBT (unitless),MBTsd (unitless),CBT (unitless),CBTsd (unitless),pH (pH)
1808.2,141.8,0.05,-127.23,17.73,-127.14,0.17,-27.49,0.03,0.64,0,0.54,0.01,6.84
1666.5,283.5,0.1,-131.41,17.56,-131.32,1.1,-27.47,0.24,0.63,NA,0.5,NA,6.92
1575.1,374.9,0.15,-131.39,17.33,-131.29,0.31,-27.79,0.23,0.62,0.01,0.46,0,6.99
1483.7,466.3,0.2,-128.11,18.2,-128.01,1.26,-28.35,0.17,0.65,0,0.51,0,6.9
1392.2,557.8,0.25,-141.58,18.2,-141.48,2.36,-27.73,0.04,0.65,0,0.5,0,6.91
1300.8,649.2,0.3,-129.65,17.58,-129.54,2.93,-28.29,0.06,0.63,NA,0.46,NA,6.99
1227.7,722.3,0.34,-127.19,17.52,-127.08,1.29,-28.02,0.01,0.62,0,0.46,0.01,6.99
1118,832,0.4,-133.91,17.32,-133.8,1.95,-27.64,0.49,0.62,NA,0.48,NA,6.95
1026.5,923.5,0.45,-130.73,17.23,-130.61,0.96,-27.21,0.19,0.63,NA,0.56,NA,6.8
935.1,1014.9,0.5,-133.34,18.37,-133.22,1.08,-26.95,0.27,0.66,0.01,0.49,0.01,6.94
843.7,1106.3,0.55,-131.76,17.26,-131.64,0.95,-27.13,0.26,0.63,NA,0.56,NA,6.8
752.3,1197.7,0.6,-136.07,17.62,-135.95,0.74,-27.16,0.05,0.64,NA,0.52,NA,6.88
650.5,1299.5,0.65,NA,17.01,NA,NA,NA,NA,0.61,0,0.48,0,6.96
455.8,1494.2,0.7,-143.22,18.25,-143.09,1.2,-28.31,0.02,0.65,0.01,0.48,0.01,6.96
261.1,1688.9,0.75,-137.02,16.82,-136.88,0.37,-28.11,0.05,0.6,0.02,0.48,0.01,6.95
66.3,1883.7,0.8,-138.63,16.73,-138.48,0.27,-27.48,0.04,0.61,NA,0.52,NA,6.87
-128.4,2078.4,0.85,-142.91,16.99,-142.75,0.15,-28.02,0.39,0.62,NA,0.51,NA,6.89
-323.1,2273.1,0.9,-142.64,16.6,-142.47,1.21,-28.1,0.22,0.61,NA,0.55,NA,6.82
-517.9,2467.9,0.95,-154.01,16.64,-153.84,1.7,-27.72,0.04,0.6,NA,0.48,NA,6.96
-712.6,2662.6,1,-146.23,17.31,-146.04,1.72,-27.25,0.28,0.61,NA,0.44,NA,7.03
-854.9,2804.9,1.05,-144.84,16.55,-144.65,0.41,-27.31,0.04,0.59,0,0.43,0.01,7.05
-962.2,2912.2,1.1,-138.97,17.58,-138.77,1.46,-28.28,0.14,0.61,NA,0.37,NA,7.18
-1069.6,3019.6,1.15,-144.42,17.26,-144.22,0.05,-27.8,0.11,0.61,NA,0.41,NA,7.1
-1176.9,3126.9,1.2,-141.22,16.37,-141.01,0.16,-28,0.07,0.6,NA,0.55,NA,6.81
-1241.3,3191.3,1.23,-157.45,16.56,-157.24,1.21,-27.97,0.23,0.6,0.01,0.5,0,6.92
-1391.6,3341.6,1.3,-147.47,16.96,-147.25,2.34,-27.54,0.07,0.61,NA,0.47,NA,6.97
-1549.5,3499.5,1.35,-151.55,17,-151.32,1.14,-29.04,0.08,0.61,NA,0.45,NA,7.01
-1702.9,3652.9,1.39,-145.71,16.61,-145.47,0.19,-27.14,0.01,0.62,NA,0.59,NA,6.74
-1933,3883,1.45,-146,16.08,-145.75,1.56,-27.84,0.05,0.59,0.01,0.54,0,6.84
-2124.7,4074.7,1.5,-153.62,16.3,-153.36,1.48,-26.87,0.04,0.59,NA,0.51,NA,6.89
-2316.5,4266.5,1.55,-148.25,16.74,-147.98,0.53,-28.44,0.08,0.61,NA,0.51,NA,6.9
-2508.2,4458.2,1.6,-155.59,16.51,-155.3,1.02,-27.1,0.14,0.61,NA,0.57,NA,6.79
-2699.9,4649.9,1.65,NA,16.64,-153.74,NA,NA,0.1,0.62,NA,0.59,NA,6.74
-2853.3,4803.3,1.69,-154.84,17.91,-154.54,0.39,-27.47,0.06,0.67,0.01,0.62,0,6.67
-3083.4,5033.4,1.75,-155.36,17.51,-155.04,2.57,-26.99,0.05,0.65,0.02,0.62,0.01,6.69
-3275.1,5225.1,1.8,-157.78,16.75,-157.44,2.33,-28.01,0.11,0.61,0.01,0.55,0,6.82
-3466.8,5416.8,1.85,-156.71,17.33,-156.34,1.95,-27.54,0.04,0.63,0.04,0.53,0.01,6.86
-3658.6,5608.6,1.9,-159.7,17.94,-159.3,0.1,-27.57,0.02,0.65,0,0.51,0,6.9
-3850.3,5800.3,1.95,-158.4,18.38,-157.98,0.98,-26.54,0,0.66,0.01,0.51,0,6.9
-4042,5992,2,-157.2,18.43,-156.74,0.18,-26.6,0.12,0.67,NA,0.53,NA,6.85
-4272.1,6222.1,2.06,-155.28,17.88,-154.8,0.47,-26.66,0.2,0.65,NA,0.54,NA,6.83
-4543.7,6493.7,2.12,-156.15,18.64,-155.63,0.01,-27.6,0.02,0.68,NA,0.58,NA,6.77
-4780,6730,2.16,-150.01,18.91,-149.45,2.35,-26.93,0.2,0.69,0,0.59,0,6.74
-5075.3,7025.3,2.21,-162.47,18.09,-161.89,0.43,-27.66,0.14,0.67,NA,0.61,NA,6.7
-5311.7,7261.7,2.25,-165.21,18.63,-164.58,1.33,-26.65,0.22,0.69,NA,0.62,NA,6.69
-5577.5,7527.5,2.295,-169.22,18.46,-168.56,0.27,-26.72,0.27,0.69,NA,0.64,NA,6.63
-5932,7882,2.35,-169.31,19.03,-168.59,0.06,-26.63,0.07,0.71,0.02,0.67,0.01,6.58
-6197.8,8147.8,2.4,-164.25,18.65,-163.48,3.29,-27.17,0.19,0.7,NA,0.68,NA,6.56
-6604.3,8554.3,2.45,-170.8,18.45,-169.93,0.36,-25.77,0.15,0.7,NA,0.7,NA,6.52
-7173.6,9123.6,2.5,-171.57,18.7,-170.54,2.89,-26.98,0.17,0.7,NA,0.69,NA,6.54
-7794.7,9744.7,2.565,-153.53,18.69,-152.22,0.19,-27.21,0.14,0.7,NA,0.67,NA,6.58
-8093.3,10043.3,2.6,-150.09,18.6,-148.64,0.13,-27.5,0.55,0.69,0.01,0.64,0,6.64
-8504.7,10454.7,2.65,-144.61,18.1,-142.92,1.23,-28.25,0.12,0.67,NA,0.61,NA,6.7
-8916,10866,2.7,-134.34,17.83,-132.37,2.7,-28.32,0.16,0.64,NA,0.51,NA,6.9
-9327.4,11277.4,2.75,-132.25,17.67,-129.97,1.5,-26.71,0.25,0.63,0,0.49,0,6.93
-9734.5,11684.5,2.8,-134.03,17.6,-131.41,0.97,-26.99,0.14,0.64,NA,0.52,NA,6.87
-10202.4,12152.4,2.86,-149.49,17.26,-146.47,2.94,-26.94,0.15,0.64,NA,0.58,NA,6.76
-10514.3,12464.3,2.9,-140.95,17.67,-137.62,0.68,-26.63,0.22,0.67,NA,0.67,NA,6.59
-10982.2,12932.2,2.96,-137.43,17.34,-133.68,2.15,-27.8,0.11,0.65,0.01,0.62,0,6.67
-11294.2,13244.2,3,-133.61,17.29,-129.57,0.58,-26.46,0.26,0.62,NA,0.51,NA,6.9
-11684.1,13634.1,3.05,-140.28,16.83,-135.9,2.62,-27.54,0.43,0.6,NA,0.48,NA,6.96
-12074,14024,3.1,-134.84,17.77,-130.08,2.15,-27.86,0.26,0.64,NA,0.52,NA,6.87
-12303.4,14253.4,3.145,-135.3,17.18,-130.29,1.59,-27.93,0.18,0.63,0.01,0.56,0.01,6.81
-12634.6,14584.6,3.21,-125.35,18.62,-120.03,0.91,-27.28,0.03,0.66,0.01,0.45,0,7.01
-12940.4,14890.4,3.27,-131.48,18.85,-125.94,4.04,-27.58,0.01,0.64,0.02,0.31,0.02,7.29
-13246.3,15196.3,3.33,-129.51,18.76,-123.73,0.45,-27.31,0.03,0.64,0.02,0.35,0.05,7.22
-13501.1,15451.1,3.38,-128.49,18.07,-122.49,1.03,-27.81,0.08,0.63,0.01,0.39,0.01,7.12
-13755.9,15705.9,3.43,-128.81,17.66,-122.67,1.77,-26.9,0.12,0.61,0,0.35,0,7.21
-14010.8,15960.8,3.48,-121.1,16.33,-114.7,0.02,-26.35,0.02,0.59,0,0.46,0,6.99
-14265.6,16215.6,3.53,-108.68,16.46,-102.08,0.39,-24.95,0.13,0.58,NA,0.4,NA,7.11
-14555.2,16505.2,3.58,-112.46,16.73,-105.73,0.3,-24.86,0.01,0.59,NA,0.4,NA,7.12
-14691.8,16641.8,3.6,-111.18,15.91,-104.39,0.2,-25.13,0.09,0.57,0,0.45,0,7.01
-15033.5,16983.5,3.65,-111.37,16.06,-104.4,0.68,-25.79,0.2,0.58,NA,0.49,NA,6.94
-15375.1,17325.1,3.7,-117.7,16.07,-110.68,0.36,-25.3,0.01,0.58,NA,0.45,NA,7.01
