age (BP),temperature (degC),uncertainty.temperature (missing),temperature (degC),uncertainty.temperature (degC)
6180,-30.67,-28.57,-32.77,-29.16
6190,-30.72,-28.62,-32.82,-29.16
6200,-30.7,-28.6,-32.8,-29.16
6210,-30.62,-28.52,-32.72,-29.17
6220,-30.48,-28.38,-32.58,-29.17
6230,-30.3,-28.2,-32.4,-29.18
6240,-30.08,-27.98,-32.18,-29.19
6250,-29.83,-27.73,-31.93,-29.19
6260,-29.56,-27.46,-31.66,-29.2
6270,-29.29,-27.19,-31.39,-29.22
6280,-29.04,-26.94,-31.14,-29.23
6290,-28.8,-26.7,-30.9,-29.24
6300,-28.59,-26.49,-30.69,-29.25
6310,-28.42,-26.32,-30.52,-29.27
6320,-28.29,-26.19,-30.39,-29.28
6330,-28.2,-26.1,-30.3,-29.3
6340,-28.15,-26.05,-30.25,-29.32
6350,-28.14,-26.04,-30.24,-29.34
6360,-28.16,-26.06,-30.26,-29.35
6370,-28.2,-26.1,-30.3,-29.37
6380,-28.26,-26.16,-30.36,-29.4
6390,-28.34,-26.24,-30.44,-29.42
6400,-28.43,-26.33,-30.53,-29.44
6410,-28.52,-26.42,-30.62,-29.46
6420,-28.61,-26.51,-30.71,-29.49
6430,-28.71,-26.61,-30.81,-29.51
6440,-28.81,-26.71,-30.91,-29.54
6450,-28.91,-26.81,-31.01,-29.57
6460,-29.01,-26.91,-31.11,-29.6
6470,-29.12,-27.02,-31.22,-29.62
6480,-29.24,-27.14,-31.34,-29.65
6490,-29.36,-27.26,-31.46,-29.68
6500,-29.5,-27.4,-31.6,-29.71
6510,-29.64,-27.54,-31.74,-29.75
6520,-29.79,-27.69,-31.89,-29.78
6530,-29.94,-27.84,-32.04,-29.81
6540,-30.09,-27.99,-32.19,-29.84
6550,-30.23,-28.13,-32.33,-29.88
6560,-30.36,-28.26,-32.46,-29.91
6570,-30.47,-28.37,-32.57,-29.94
6580,-30.57,-28.47,-32.67,-29.98
6590,-30.64,-28.54,-32.74,-30.01
6600,-30.69,-28.59,-32.79,-30.05
6610,-30.71,-28.61,-32.81,-30.08
6620,-30.71,-28.61,-32.81,-30.12
6630,-30.7,-28.6,-32.8,-30.15
6640,-30.67,-28.57,-32.77,-30.18
6650,-30.62,-28.52,-32.72,-30.22
6660,-30.58,-28.48,-32.68,-30.25
6670,-30.53,-28.43,-32.63,-30.28
6680,-30.49,-28.39,-32.59,-30.32
6690,-30.46,-28.36,-32.56,-30.35
6700,-30.43,-28.33,-32.53,-30.38
6710,-30.42,-28.32,-32.52,-30.41
6720,-30.43,-28.33,-32.53,-30.44
6730,-30.44,-28.34,-32.54,-30.47
6740,-30.46,-28.36,-32.56,-30.49
6750,-30.48,-28.38,-32.58,-30.52
6760,-30.5,-28.4,-32.6,-30.54
6770,-30.52,-28.42,-32.62,-30.57
6780,-30.53,-28.43,-32.63,-30.59
6790,-30.52,-28.42,-32.62,-30.61
6800,-30.51,-28.41,-32.61,-30.63
6810,-30.49,-28.39,-32.59,-30.65
6820,-30.45,-28.35,-32.55,-30.66
6830,-30.42,-28.32,-32.52,-30.68
6840,-30.38,-28.28,-32.48,-30.69
6850,-30.35,-28.25,-32.45,-30.7
6860,-30.34,-28.24,-32.44,-30.71
6870,-30.34,-28.24,-32.44,-30.71
6880,-30.36,-28.26,-32.46,-30.72
6890,-30.42,-28.32,-32.52,-30.72
6900,-30.5,-28.4,-32.6,-30.72
6910,-30.61,-28.51,-32.71,-30.72
6920,-30.75,-28.65,-32.85,-30.71
6930,-30.91,-28.81,-33.01,-30.71
6940,-31.09,-28.99,-33.19,-30.7
6950,-31.27,-29.17,-33.37,-30.69
6960,-31.44,-29.34,-33.54,-30.68
6970,-31.61,-29.51,-33.71,-30.66
6980,-31.75,-29.65,-33.85,-30.65
6990,-31.85,-29.75,-33.95,-30.63
7000,-31.92,-29.82,-34.02,-30.61
7010,-31.95,-29.85,-34.05,-30.59
7020,-31.92,-29.82,-34.02,-30.56
7030,-31.85,-29.75,-33.95,-30.54
7040,-31.74,-29.64,-33.84,-30.51
7050,-31.58,-29.48,-33.68,-30.48
7060,-31.4,-29.3,-33.5,-30.45
7070,-31.19,-29.09,-33.29,-30.42
7080,-30.96,-28.86,-33.06,-30.38
7090,-30.74,-28.64,-32.84,-30.35
7100,-30.52,-28.42,-32.62,-30.31
7110,-30.31,-28.21,-32.41,-30.27
7120,-30.13,-28.03,-32.23,-30.23
7130,-29.98,-27.88,-32.08,-30.19
7140,-29.85,-27.75,-31.95,-30.15
7150,-29.76,-27.66,-31.86,-30.1
7160,-29.69,-27.59,-31.79,-30.06
7170,-29.65,-27.55,-31.75,-30.01
7180,-29.62,-27.52,-31.72,-29.97
7190,-29.6,-27.5,-31.7,-29.92
7200,-29.59,-27.49,-31.69,-29.87
7210,-29.58,-27.48,-31.68,-29.82
7220,-29.55,-27.45,-31.65,-29.77
7230,-29.51,-27.41,-31.61,-29.72
7240,-29.46,-27.36,-31.56,-29.67
7250,-29.39,-27.29,-31.49,-29.61
7260,-29.3,-27.2,-31.4,-29.56
7270,-29.2,-27.1,-31.3,-29.51
7280,-29.09,-26.99,-31.19,-29.45
7290,-28.98,-26.88,-31.08,-29.4
7300,-28.87,-26.77,-30.97,-29.34
7310,-28.77,-26.67,-30.87,-29.29
7320,-28.69,-26.59,-30.79,-29.23
7330,-28.62,-26.52,-30.72,-29.18
7340,-28.58,-26.48,-30.68,-29.12
7350,-28.57,-26.47,-30.67,-29.07
7360,-28.57,-26.47,-30.67,-29.01
7370,-28.6,-26.5,-30.7,-28.95
7380,-28.65,-26.55,-30.75,-28.9
7390,-28.7,-26.6,-30.8,-28.84
7400,-28.75,-26.65,-30.85,-28.79
7410,-28.8,-26.7,-30.9,-28.73
7420,-28.83,-26.73,-30.93,-28.67
7430,-28.85,-26.75,-30.95,-28.62
7440,-28.84,-26.74,-30.94,-28.56
7450,-28.8,-26.7,-30.9,-28.51
7460,-28.73,-26.63,-30.83,-28.45
7470,-28.64,-26.54,-30.74,-28.4
7480,-28.52,-26.42,-30.62,-28.35
7490,-28.38,-26.28,-30.48,-28.3
7500,-28.23,-26.13,-30.33,-28.24
7510,-28.08,-25.98,-30.18,-28.19
7520,-27.93,-25.83,-30.03,-28.14
7530,-27.81,-25.71,-29.91,-28.09
7540,-27.71,-25.61,-29.81,-28.05
7550,-27.65,-25.55,-29.75,-28
7560,-27.62,-25.52,-29.72,-27.95
7570,-27.65,-25.55,-29.75,-27.91
7580,-27.71,-25.61,-29.81,-27.87
7590,-27.82,-25.72,-29.92,-27.83
7600,-27.97,-25.87,-30.07,-27.79
7610,-28.14,-26.04,-30.24,-27.75
7620,-28.33,-26.23,-30.43,-27.71
7630,-28.53,-26.43,-30.63,-27.68
7640,-28.72,-26.62,-30.82,-27.65
7650,-28.89,-26.79,-30.99,-27.62
7660,-29.03,-26.93,-31.13,-27.59
7670,-29.12,-27.02,-31.22,-27.57
7680,-29.16,-27.06,-31.26,-27.54
7690,-29.13,-27.03,-31.23,-27.52
7700,-29.04,-26.94,-31.14,-27.51
7710,-28.89,-26.79,-30.99,-27.49
7720,-28.67,-26.57,-30.77,-27.48
7730,-28.4,-26.3,-30.5,-27.47
7740,-28.08,-25.98,-30.18,-27.47
7750,-27.72,-25.62,-29.82,-27.47
7760,-27.33,-25.23,-29.43,-27.47
7770,-26.94,-24.84,-29.04,-27.47
7780,-26.55,-24.45,-28.65,-27.48
7790,-26.17,-24.07,-28.27,-27.49
7800,-25.83,-23.73,-27.93,-27.51
7810,-25.53,-23.43,-27.63,-27.52
7820,-25.29,-23.19,-27.39,-27.54
7830,-25.11,-23.01,-27.21,-27.57
7840,-24.99,-22.89,-27.09,-27.6
7850,-24.94,-22.84,-27.04,-27.63
7860,-24.97,-22.87,-27.07,-27.66
7870,-25.06,-22.96,-27.16,-27.7
7880,-25.21,-23.11,-27.31,-27.74
7890,-25.42,-23.32,-27.52,-27.78
7900,-25.67,-23.57,-27.77,-27.83
7910,-25.96,-23.86,-28.06,-27.88
7920,-26.27,-24.17,-28.37,-27.93
7930,-26.6,-24.5,-28.7,-27.99
7940,-26.92,-24.82,-29.02,-28.05
7950,-27.24,-25.14,-29.34,-28.11
7960,-27.54,-25.44,-29.64,-28.17
7970,-27.82,-25.72,-29.92,-28.24
7980,-28.06,-25.96,-30.16,-28.3
7990,-28.28,-26.18,-30.38,-28.37
8000,-28.45,-26.35,-30.55,-28.44
8010,-28.59,-26.49,-30.69,-28.51
8020,-28.71,-26.61,-30.81,-28.58
8030,-28.79,-26.69,-30.89,-28.65
8040,-28.86,-26.76,-30.96,-28.73
8050,-28.92,-26.82,-31.02,-28.8
8060,-28.97,-26.87,-31.07,-28.87
8070,-29.03,-26.93,-31.13,-28.95
8080,-29.11,-27.01,-31.21,-29.02
8090,-29.2,-27.1,-31.3,-29.09
8100,-29.31,-27.21,-31.41,-29.16
8110,-29.44,-27.34,-31.54,-29.23
8120,-29.6,-27.5,-31.7,-29.3
8130,-29.78,-27.68,-31.88,-29.37
8140,-29.98,-27.88,-32.08,-29.43
8150,-30.18,-28.08,-32.28,-29.49
8160,-30.38,-28.28,-32.48,-29.55
8170,-30.57,-28.47,-32.67,-29.61
8180,-30.75,-28.65,-32.85,-29.67
8190,-30.9,-28.8,-33,-29.72
8200,-31.02,-28.92,-33.12,-29.76
8210,-31.11,-29.01,-33.21,-29.81
8220,-31.15,-29.05,-33.25,-29.85
8230,-31.16,-29.06,-33.26,-29.88
8240,-31.14,-29.04,-33.24,-29.92
8250,-31.09,-28.99,-33.19,-29.94
8260,-31.02,-28.92,-33.12,-29.97
8270,-30.94,-28.84,-33.04,-29.99
8280,-30.85,-28.75,-32.95,-30
8290,-30.78,-28.68,-32.88,-30.01
8300,-30.73,-28.63,-32.83,-30.01
8310,-30.7,-28.6,-32.8,-30.01
8320,-30.69,-28.59,-32.79,-30.01
8330,-30.72,-28.62,-32.82,-30
8340,-30.78,-28.68,-32.88,-29.99
8350,-30.87,-28.77,-32.97,-29.97
8360,-30.97,-28.87,-33.07,-29.94
8370,-31.08,-28.98,-33.18,-29.91
8380,-31.19,-29.09,-33.29,-29.88
8390,-31.28,-29.18,-33.38,-29.84
8400,-31.35,-29.25,-33.45,-29.8
8410,-31.38,-29.28,-33.48,-29.75
8420,-31.37,-29.27,-33.47,-29.7
8430,-31.32,-29.22,-33.42,-29.65
8440,-31.21,-29.11,-33.31,-29.59
8450,-31.05,-28.95,-33.15,-29.53
8460,-30.84,-28.74,-32.94,-29.46
8470,-30.59,-28.49,-32.69,-29.39
8480,-30.31,-28.21,-32.41,-29.32
8490,-30.01,-27.91,-32.11,-29.24
8500,-29.7,-27.6,-31.8,-29.17
8510,-29.39,-27.29,-31.49,-29.09
8520,-29.09,-26.99,-31.19,-29
8530,-28.81,-26.71,-30.91,-28.92
8540,-28.55,-26.45,-30.65,-28.83
8550,-28.32,-26.22,-30.42,-28.74
8560,-28.12,-26.02,-30.22,-28.66
8570,-27.94,-25.84,-30.04,-28.57
8580,-27.79,-25.69,-29.89,-28.48
8590,-27.65,-25.55,-29.75,-28.39
8600,-27.53,-25.43,-29.63,-28.3
8610,-27.4,-25.3,-29.5,-28.2
8620,-27.28,-25.18,-29.38,-28.11
8630,-27.14,-25.04,-29.24,-28.03
8640,-27,-24.9,-29.1,-27.94
8650,-26.85,-24.75,-28.95,-27.85
8660,-26.69,-24.59,-28.79,-27.76
8670,-26.53,-24.43,-28.63,-27.68
8680,-26.37,-24.27,-28.47,-27.59
8690,-26.22,-24.12,-28.32,-27.51
8700,-26.09,-23.99,-28.19,-27.43
8710,-25.99,-23.89,-28.09,-27.36
8720,-25.92,-23.82,-28.02,-27.28
8730,-25.88,-23.78,-27.98,-27.21
8740,-25.89,-23.79,-27.99,-27.14
8750,-25.94,-23.84,-28.04,-27.08
8760,-26.03,-23.93,-28.13,-27.02
8770,-26.14,-24.04,-28.24,-26.96
8780,-26.28,-24.18,-28.38,-26.9
8790,-26.44,-24.34,-28.54,-26.85
8800,-26.59,-24.49,-28.69,-26.8
8810,-26.73,-24.63,-28.83,-26.75
8820,-26.85,-24.75,-28.95,-26.71
8830,-26.94,-24.84,-29.04,-26.67
8840,-26.99,-24.89,-29.09,-26.63
8850,-27,-24.9,-29.1,-26.6
8860,-26.97,-24.87,-29.07,-26.58
8870,-26.89,-24.79,-28.99,-26.55
8880,-26.78,-24.68,-28.88,-26.53
8890,-26.64,-24.54,-28.74,-26.51
8900,-26.48,-24.38,-28.58,-26.5
8910,-26.32,-24.22,-28.42,-26.49
8920,-26.16,-24.06,-28.26,-26.48
8930,-26.02,-23.92,-28.12,-26.48
8940,-25.91,-23.81,-28.01,-26.48
8950,-25.84,-23.74,-27.94,-26.48
8960,-25.8,-23.7,-27.9,-26.49
8970,-25.81,-23.71,-27.91,-26.5
8980,-25.86,-23.76,-27.96,-26.51
8990,-25.95,-23.85,-28.05,-26.53
9000,-26.06,-23.96,-28.16,-26.55
9010,-26.19,-24.09,-28.29,-26.57
9020,-26.33,-24.23,-28.43,-26.59
9030,-26.47,-24.37,-28.57,-26.62
9040,-26.59,-24.49,-28.69,-26.65
9050,-26.69,-24.59,-28.79,-26.68
9060,-26.76,-24.66,-28.86,-26.71
9070,-26.8,-24.7,-28.9,-26.74
9080,-26.81,-24.71,-28.91,-26.78
9090,-26.79,-24.69,-28.89,-26.82
9100,-26.75,-24.65,-28.85,-26.86
9110,-26.68,-24.58,-28.78,-26.9
9120,-26.62,-24.52,-28.72,-26.94
9130,-26.56,-24.46,-28.66,-26.99
9140,-26.51,-24.41,-28.61,-27.04
9150,-26.49,-24.39,-28.59,-27.08
9160,-26.5,-24.4,-28.6,-27.13
9170,-26.56,-24.46,-28.66,-27.18
9180,-26.65,-24.55,-28.75,-27.23
9190,-26.79,-24.69,-28.89,-27.28
9200,-26.98,-24.88,-29.08,-27.33
9210,-27.19,-25.09,-29.29,-27.39
9220,-27.43,-25.33,-29.53,-27.44
9230,-27.69,-25.59,-29.79,-27.5
9240,-27.94,-25.84,-30.04,-27.55
9250,-28.19,-26.09,-30.29,-27.61
9260,-28.43,-26.33,-30.53,-27.66
9270,-28.63,-26.53,-30.73,-27.72
9280,-28.79,-26.69,-30.89,-27.78
9290,-28.92,-26.82,-31.02,-27.83
9300,-29,-26.9,-31.1,-27.89
9310,-29.05,-26.95,-31.15,-27.95
9320,-29.05,-26.95,-31.15,-28.01
9330,-29.02,-26.92,-31.12,-28.07
9340,-28.97,-26.87,-31.07,-28.13
9350,-28.91,-26.81,-31.01,-28.19
9360,-28.84,-26.74,-30.94,-28.25
9370,-28.77,-26.67,-30.87,-28.32
9380,-28.71,-26.61,-30.81,-28.38
9390,-28.66,-26.56,-30.76,-28.44
9400,-28.64,-26.54,-30.74,-28.5
9410,-28.63,-26.53,-30.73,-28.57
9420,-28.64,-26.54,-30.74,-28.63
9430,-28.67,-26.57,-30.77,-28.7
9440,-28.71,-26.61,-30.81,-28.76
9450,-28.76,-26.66,-30.86,-28.83
9460,-28.81,-26.71,-30.91,-28.9
9470,-28.86,-26.76,-30.96,-28.96
9480,-28.9,-26.8,-31,-29.03
9490,-28.93,-26.83,-31.03,-29.1
9500,-28.94,-26.84,-31.04,-29.17
9510,-28.94,-26.84,-31.04,-29.24
9520,-28.92,-26.82,-31.02,-29.3
9530,-28.9,-26.8,-31,-29.37
9540,-28.86,-26.76,-30.96,-29.44
9550,-28.83,-26.73,-30.93,-29.51
9560,-28.79,-26.69,-30.89,-29.58
9570,-28.77,-26.67,-30.87,-29.65
9580,-28.76,-26.66,-30.86,-29.72
9590,-28.76,-26.66,-30.86,-29.79
9600,-28.79,-26.69,-30.89,-29.86
9610,-28.84,-26.74,-30.94,-29.93
9620,-28.91,-26.81,-31.01,-30
9630,-29,-26.9,-31.1,-30.07
9640,-29.12,-27.02,-31.22,-30.13
9650,-29.25,-27.15,-31.35,-30.2
9660,-29.39,-27.29,-31.49,-30.26
9670,-29.54,-27.44,-31.64,-30.33
9680,-29.7,-27.6,-31.8,-30.39
9690,-29.87,-27.77,-31.97,-30.45
9700,-30.04,-27.94,-32.14,-30.51
9710,-30.2,-28.1,-32.3,-30.57
9720,-30.37,-28.27,-32.47,-30.63
9730,-30.53,-28.43,-32.63,-30.68
9740,-30.69,-28.59,-32.79,-30.74
9750,-30.85,-28.75,-32.95,-30.79
9760,-31,-28.9,-33.1,-30.84
9770,-31.16,-29.06,-33.26,-30.89
9780,-31.32,-29.22,-33.42,-30.93
9790,-31.47,-29.37,-33.57,-30.97
9800,-31.62,-29.52,-33.72,-31.01
9810,-31.77,-29.67,-33.87,-31.05
9820,-31.91,-29.81,-34.01,-31.08
9830,-32.05,-29.95,-34.15,-31.11
9840,-32.17,-30.07,-34.27,-31.14
9850,-32.29,-30.19,-34.39,-31.16
9860,-32.39,-30.29,-34.49,-31.18
9870,-32.47,-30.37,-34.57,-31.2
9880,-32.54,-30.44,-34.64,-31.21
9890,-32.59,-30.49,-34.69,-31.22
9900,-32.62,-30.52,-34.72,-31.23
9910,-32.63,-30.53,-34.73,-31.23
9920,-32.63,-30.53,-34.73,-31.23
9930,-32.62,-30.52,-34.72,-31.23
9940,-32.59,-30.49,-34.69,-31.23
9950,-32.55,-30.45,-34.65,-31.22
9960,-32.5,-30.4,-34.6,-31.2
9970,-32.44,-30.34,-34.54,-31.19
9980,-32.38,-30.28,-34.48,-31.17
9990,-32.31,-30.21,-34.41,-31.15
10000,-32.23,-30.13,-34.33,-31.12
10010,-32.15,-30.05,-34.25,-31.1
10020,-32.06,-29.96,-34.16,-31.07
10030,-31.97,-29.87,-34.07,-31.04
10040,-31.88,-29.78,-33.98,-31
10050,-31.78,-29.68,-33.88,-30.97
10060,-31.67,-29.57,-33.77,-30.93
10070,-31.56,-29.46,-33.66,-30.89
10080,-31.44,-29.34,-33.54,-30.85
10090,-31.32,-29.22,-33.42,-30.8
10100,-31.19,-29.09,-33.29,-30.76
10110,-31.06,-28.96,-33.16,-30.71
10120,-30.92,-28.82,-33.02,-30.67
10130,-30.79,-28.69,-32.89,-30.62
10140,-30.65,-28.55,-32.75,-30.58
10150,-30.5,-28.4,-32.6,-30.53
10160,-30.36,-28.26,-32.46,-30.49
10170,-30.21,-28.11,-32.31,-30.44
10180,-30.05,-27.95,-32.15,-30.4
10190,-29.89,-27.79,-31.99,-30.35
10200,-29.73,-27.63,-31.83,-30.31
10210,-29.57,-27.47,-31.67,-30.27
10220,-29.41,-27.31,-31.51,-30.23
10230,-29.24,-27.14,-31.34,-30.2
10240,-29.08,-26.98,-31.18,-30.16
10250,-28.93,-26.83,-31.03,-30.13
10260,-28.79,-26.69,-30.89,-30.1
10270,-28.66,-26.56,-30.76,-30.07
10280,-28.56,-26.46,-30.66,-30.05
10290,-28.47,-26.37,-30.57,-30.03
10300,-28.42,-26.32,-30.52,-30.01
10310,-28.39,-26.29,-30.49,-29.99
10320,-28.39,-26.29,-30.49,-29.98
10330,-28.43,-26.33,-30.53,-29.97
10340,-28.49,-26.39,-30.59,-29.97
10350,-28.58,-26.48,-30.68,-29.97
10360,-28.69,-26.59,-30.79,-29.97
10370,-28.83,-26.73,-30.93,-29.98
10380,-28.97,-26.87,-31.07,-29.99
10390,-29.12,-27.02,-31.22,-30
10400,-29.28,-27.18,-31.38,-30.02
10410,-29.42,-27.32,-31.52,-30.04
10420,-29.56,-27.46,-31.66,-30.06
10430,-29.68,-27.58,-31.78,-30.09
10440,-29.78,-27.68,-31.88,-30.12
10450,-29.86,-27.76,-31.96,-30.16
10460,-29.92,-27.82,-32.02,-30.2
10470,-29.96,-27.86,-32.06,-30.24
10480,-29.99,-27.89,-32.09,-30.28
10490,-30.01,-27.91,-32.11,-30.33
10500,-30.02,-27.92,-32.12,-30.38
10510,-30.03,-27.93,-32.13,-30.43
10520,-30.04,-27.94,-32.14,-30.49
10530,-30.06,-27.96,-32.16,-30.54
10540,-30.1,-28,-32.2,-30.6
10550,-30.16,-28.06,-32.26,-30.67
10560,-30.23,-28.13,-32.33,-30.73
10570,-30.33,-28.23,-32.43,-30.79
10580,-30.45,-28.35,-32.55,-30.86
10590,-30.6,-28.5,-32.7,-30.93
10600,-30.76,-28.66,-32.86,-30.99
10610,-30.94,-28.84,-33.04,-31.06
10620,-31.13,-29.03,-33.23,-31.13
10630,-31.33,-29.23,-33.43,-31.2
10640,-31.54,-29.44,-33.64,-31.27
10650,-31.74,-29.64,-33.84,-31.34
10660,-31.93,-29.83,-34.03,-31.41
10670,-32.12,-30.02,-34.22,-31.48
10680,-32.29,-30.19,-34.39,-31.54
10690,-32.44,-30.34,-34.54,-31.61
10700,-32.57,-30.47,-34.67,-31.67
10710,-32.69,-30.59,-34.79,-31.74
10720,-32.78,-30.68,-34.88,-31.8
10730,-32.85,-30.75,-34.95,-31.86
10740,-32.9,-30.8,-35,-31.92
10750,-32.94,-30.84,-35.04,-31.98
10760,-32.96,-30.86,-35.06,-32.03
10770,-32.97,-30.87,-35.07,-32.09
10780,-32.98,-30.88,-35.08,-32.14
10790,-32.98,-30.88,-35.08,-32.18
10800,-32.97,-30.87,-35.07,-32.23
10810,-32.97,-30.87,-35.07,-32.27
10820,-32.98,-30.88,-35.08,-32.32
10830,-32.99,-30.89,-35.09,-32.36
10840,-33.01,-30.91,-35.11,-32.39
10850,-33.04,-30.94,-35.14,-32.43
10860,-33.07,-30.97,-35.17,-32.46
10870,-33.11,-31.01,-35.21,-32.49
10880,-33.16,-31.06,-35.26,-32.51
10890,-33.21,-31.11,-35.31,-32.54
10900,-33.25,-31.15,-35.35,-32.56
10910,-33.29,-31.19,-35.39,-32.58
10920,-33.32,-31.22,-35.42,-32.59
10930,-33.33,-31.23,-35.43,-32.61
10940,-33.33,-31.23,-35.43,-32.62
10950,-33.31,-31.21,-35.41,-32.63
10960,-33.27,-31.17,-35.37,-32.64
10970,-33.21,-31.11,-35.31,-32.65
10980,-33.13,-31.03,-35.23,-32.66
10990,-33.03,-30.93,-35.13,-32.66
11000,-32.92,-30.82,-35.02,-32.67
11010,-32.81,-30.71,-34.91,-32.67
11020,-32.69,-30.59,-34.79,-32.67
11030,-32.58,-30.48,-34.68,-32.67
11040,-32.48,-30.38,-34.58,-32.67
11050,-32.39,-30.29,-34.49,-32.67
11060,-32.32,-30.22,-34.42,-32.67
11070,-32.27,-30.17,-34.37,-32.68
11080,-32.25,-30.15,-34.35,-32.68
11090,-32.25,-30.15,-34.35,-32.68
11100,-32.27,-30.17,-34.37,-32.68
11110,-32.32,-30.22,-34.42,-32.68
11120,-32.37,-30.27,-34.47,-32.69
11130,-32.44,-30.34,-34.54,-32.69
11140,-32.52,-30.42,-34.62,-32.7
11150,-32.59,-30.49,-34.69,-32.71
11160,-32.66,-30.56,-34.76,-32.72
11170,-32.72,-30.62,-34.82,-32.74
11180,-32.76,-30.66,-34.86,-32.75
11190,-32.78,-30.68,-34.88,-32.77
11200,-32.78,-30.68,-34.88,-32.79
11210,-32.77,-30.67,-34.87,-32.82
11220,-32.73,-30.63,-34.83,-32.85
11230,-32.68,-30.58,-34.78,-32.88
11240,-32.62,-30.52,-34.72,-32.91
11250,-32.55,-30.45,-34.65,-32.95
11260,-32.47,-30.37,-34.57,-32.99
11270,-32.41,-30.31,-34.51,-33.04
11280,-32.35,-30.25,-34.45,-33.09
11290,-32.31,-30.21,-34.41,-33.14
11300,-32.29,-30.19,-34.39,-33.2
11310,-32.29,-30.19,-34.39,-33.27
11320,-32.32,-30.22,-34.42,-33.33
11330,-32.38,-30.28,-34.48,-33.41
11340,-32.47,-30.37,-34.57,-33.48
11350,-32.59,-30.49,-34.69,-33.56
11360,-32.73,-30.63,-34.83,-33.65
11370,-32.9,-30.8,-35,-33.74
11380,-33.09,-30.99,-35.19,-33.84
11390,-33.3,-31.2,-35.4,-33.94
11400,-33.53,-31.43,-35.63,-34.04
11410,-33.75,-31.65,-35.85,-34.15
11420,-33.98,-31.88,-36.08,-34.27
11430,-34.2,-32.1,-36.3,-34.39
11440,-34.41,-32.31,-36.51,-34.51
11450,-34.6,-32.5,-36.7,-34.64
11460,-34.76,-32.66,-36.86,-34.77
11470,-34.9,-32.8,-37,-34.91
11480,-35.01,-32.91,-37.11,-35.05
11490,-35.08,-32.98,-37.18,-35.2
11500,-35.12,-33.02,-37.22,-35.35
11510,-35.12,-33.02,-37.22,-35.5
11520,-35.1,-33,-37.2,-35.66
11530,-35.06,-32.96,-37.16,-35.81
11540,-35,-32.9,-37.1,-35.98
11550,-34.94,-32.84,-37.04,-36.14
11560,-34.89,-32.79,-36.99,-36.31
11570,-34.86,-32.76,-36.96,-36.49
11580,-34.86,-32.76,-36.96,-36.66
11590,-34.91,-32.81,-37.01,-36.84
11600,-35.01,-32.91,-37.11,-37.02
11610,-35.18,-33.08,-37.28,-37.2
11620,-35.41,-33.31,-37.51,-37.38
11630,-35.72,-33.62,-37.82,-37.56
11640,-36.1,-34,-38.2,-37.75
11650,-36.55,-34.45,-38.65,-37.93
11660,-37.05,-34.95,-39.15,-38.12
11670,-37.6,-35.5,-39.7,-38.31
11680,-38.19,-36.09,-40.29,-38.49
11690,-38.79,-36.69,-40.89,-38.68
11700,-39.39,-37.29,-41.49,-38.87
11710,-39.98,-37.88,-42.08,-39.05
11720,-40.53,-38.43,-42.63,-39.24
11730,-41.04,-38.94,-43.14,-39.43
11740,-41.49,-39.39,-43.59,-39.61
11750,-41.87,-39.77,-43.97,-39.79
11760,-42.18,-40.08,-44.28,-39.98
11770,-42.42,-40.32,-44.52,-40.16
11780,-42.59,-40.49,-44.69,-40.33
11790,-42.7,-40.6,-44.8,-40.51
11800,-42.75,-40.65,-44.85,-40.68
11810,-42.76,-40.66,-44.86,-40.85
11820,-42.73,-40.63,-44.83,-41.02
11830,-42.69,-40.59,-44.79,-41.19
11840,-42.65,-40.55,-44.75,-41.35
11850,-42.6,-40.5,-44.7,-41.51
11860,-42.57,-40.47,-44.67,-41.67
11870,-42.55,-40.45,-44.65,-41.82
11880,-42.55,-40.45,-44.65,-41.97
11890,-42.58,-40.48,-44.68,-42.12
11900,-42.62,-40.52,-44.72,-42.26
11910,-42.67,-40.57,-44.77,-42.4
11920,-42.74,-40.64,-44.84,-42.54
11930,-42.81,-40.71,-44.91,-42.67
11940,-42.88,-40.78,-44.98,-42.8
11950,-42.95,-40.85,-45.05,-42.92
11960,-43.01,-40.91,-45.11,-43.04
11970,-43.06,-40.96,-45.16,-43.16
11980,-43.11,-41.01,-45.21,-43.27
11990,-43.16,-41.06,-45.26,-43.38
12000,-43.2,-41.1,-45.3,-43.48
12010,-43.25,-41.15,-45.35,-43.58
12020,-43.31,-41.21,-45.41,-43.68
12030,-43.39,-41.29,-45.49,-43.77
12040,-43.49,-41.39,-45.59,-43.85
12050,-43.6,-41.5,-45.7,-43.94
12060,-43.74,-41.64,-45.84,-44.02
12070,-43.91,-41.81,-46.01,-44.09
12080,-44.08,-41.98,-46.18,-44.17
12090,-44.27,-42.17,-46.37,-44.23
12100,-44.47,-42.37,-46.57,-44.3
12110,-44.66,-42.56,-46.76,-44.36
12120,-44.84,-42.74,-46.94,-44.42
12130,-45,-42.9,-47.1,-44.47
12140,-45.13,-43.03,-47.23,-44.52
12150,-45.23,-43.13,-47.33,-44.57
12160,-45.3,-43.2,-47.4,-44.61
12170,-45.32,-43.22,-47.42,-44.65
12180,-45.31,-43.21,-47.41,-44.69
12190,-45.27,-43.17,-47.37,-44.72
12200,-45.21,-43.11,-47.31,-44.75
12210,-45.13,-43.03,-47.23,-44.78
12220,-45.04,-42.94,-47.14,-44.81
12230,-44.96,-42.86,-47.06,-44.83
12240,-44.88,-42.78,-46.98,-44.85
12250,-44.83,-42.73,-46.93,-44.87
