depth (cm),age (BP),BSi (percent)
1,76.54,13.68
3,163.22,12.89
5,249.9,12.19
7,336.58,10.88
9,423.26,10.96
11,509.94,10.99
13,596.62,10.63
15,683.3,10.68
17,769.98,10.74
19,856.66,12.81
21,943.34,11.69
23,1030.02,10.64
25,1116.7,10.74
27,1203.38,11.07
29,1290.06,11.16
31,1376.74,10.35
33,1463.42,11.75
35,1550.1,12.2
37,1636.78,11.09
39,1723.46,10.19
41,1810.14,11.13
43,1896.82,11.89
45,1983.5,11.46
47,2070.18,12.9
49,2156.86,11.13
51,2243.54,11.09
53,2330.22,10.84
55,2416.9,10.33
57,2503.58,10.7
59,2590.26,10.42
61,2676.94,10.58
63,2763.62,11.28
65,2850.3,11.8
67,2936.98,11.4
69,3023.66,11.87
71,3110.34,11.28
73,3197.02,11.31
75,3283.7,11.56
77,3370.38,11.85
79,3457.06,10.6
81,3543.74,10.82
83,3630.42,10.33
85,3717.1,11.2
87,3803.78,11.01
89,3890.46,11.62
91,3977.14,11.95
93,4063.82,11.85
95,4150.5,11.28
97,4237.18,12.34
99,4323.86,11.55
101,4410.54,10.89
103,4497.22,11.75
105,4583.9,12.16
107,4670.58,10.54
109,4757.26,11.17
111,4843.94,10.62
113,4930.62,11.99
115,5017.3,11.55
117,5103.98,10.17
119,5190.66,11.06
121,5277.34,12.09
123,5364.02,11.87
125,5450.7,11.52
127,5537.38,12.13
129,5624.06,12.76
131,5710.74,13.58
133,5797.42,12.92
135,5884.1,13.51
137,5970.78,14.28
139,6057.46,13.67
141,6144.14,13.01
143,6230.82,11.43
145,6317.5,13.3
147,6404.18,11.89
149,6490.86,12.58
151,6577.54,13.85
153,6664.22,13.24
155,6750.9,13.3
157,6837.58,14.36
159,6924.26,13.36
161,7010.94,14.46
163,7097.62,14.7
165,7184.3,13.6
167,7270.98,14.64
169,7357.66,16.02
171,7444.34,16.99
173,7531.02,17.95
175,7617.7,17.22
177,7704.38,16.99
179,7791.06,17.38
181,7877.74,17.65
183,7964.42,17.26
185,8051.1,16.44
187,8137.78,16.92
189,8224.46,16.91
191,8311.14,16.7
193,8397.82,16.56
195,8484.5,16.64
197,8571.18,17.03
199,8657.86,16.07
201,8744.54,14.92
203,8831.22,16.05
205,8917.9,15.75
207,9004.58,15.62
209,9091.26,16.4
211,9177.94,16.11
213,9264.62,16.11
215,9351.3,16.64
217,9437.98,15.04
219,9524.66,15.3
221,9611.34,16.11
223,9698.02,15.58
225,9784.7,15.51
227,9871.38,15.24
229,9958.06,14.89
231,10044.7,15.76
233,10131.4,14.29
235,10218.1,14.85
237,10304.8,15.2
239,10391.5,15.54
241,10478.1,14.35
243,10564.8,14.95
245,10651.5,14.19
247,10738.2,14.11
249,10824.9,14.4
251,10911.5,13.88
253,10998.2,10.17
255,11084.9,9.55
257,11171.6,9.36
259,11258.3,10.18
261,11344.9,10.03
263,11431.6,8.17
265,11518.3,5.22
267,11605,4.9
269,11691.7,4.53
271,11778.3,4.05
273,11865,4.5
275,11951.7,3.94
277,12038.4,4.35
279,12125.1,4.95
281,12211.7,4.07
283,12298.4,5.26
