year (AD),age (BP),depth (cm),DI0x2Dlake0x2Ddepth (m),Z0x2Dscore (standardized)
1950,0,346,2.28,-0.01
1946.41,3.59,348,2.33,0.04
1942.821,7.179,350,2.32,0.03
1939.231,10.769,352,2.26,-0.03
1935.641,14.359,354,2.05,-0.24
1932.051,17.949,356,2.07,-0.22
1928.462,21.538,358,2.14,-0.15
1924.872,25.128,360,2.12,-0.17
1921.282,28.718,362,1.96,-0.33
1917.692,32.308,364,2.07,-0.22
1914.103,35.897,366,2.05,-0.24
1910.513,39.487,368,2.07,-0.22
1906.923,43.077,370,1.71,-0.58
1903.333,46.667,372,1.74,-0.55
1899.744,50.256,374,1.72,-0.57
1896.154,53.846,376,1.73,-0.56
1892.564,57.436,378,1.85,-0.44
1888.974,61.026,380,1.77,-0.52
1885.385,64.615,382,1.88,-0.41
1881.795,68.205,384,1.96,-0.33
1824.125,125.875,386,2.13,-0.16
1712.375,237.625,388,2.05,-0.24
1600.625,349.375,390,1.78,-0.51
1488.875,461.125,392,1.87,-0.42
1377.125,572.875,394,1.76,-0.53
1265.375,684.625,396,1.67,-0.62
1153.625,796.375,398,1.8,-0.49
1041.875,908.125,400,1.95,-0.34
978.718,971.282,402,1.94,-0.35
964.154,985.846,404,1.89,-0.4
949.59,1000.41,406,2.01,-0.28
935.026,1014.974,408,1.98,-0.31
920.462,1029.538,410,2.23,-0.06
905.897,1044.103,412,2.07,-0.22
891.333,1058.667,414,2.02,-0.27
876.769,1073.231,416,2.36,0.07
862.205,1087.795,418,2.22,-0.07
847.641,1102.359,420,2.08,-0.21
833.077,1116.923,422,2.23,-0.06
818.513,1131.487,424,2.22,-0.07
803.949,1146.051,426,2.22,-0.07
789.385,1160.615,428,2.24,-0.05
774.821,1175.179,430,2.3,0.01
760.256,1189.744,432,2.23,-0.06
745.692,1204.308,434,2.57,0.28
731.128,1218.872,436,2.34,0.05
716.564,1233.436,438,2.39,0.1
702,1248,440,2.45,0.16
684.044,1265.956,442,2.64,0.35
666.088,1283.912,444,2.46,0.17
648.132,1301.868,446,2.37,0.08
630.176,1319.824,448,2.61,0.32
612.22,1337.78,450,2.4,0.11
594.264,1355.736,452,2.31,0.02
576.308,1373.692,454,3.05,0.76
558.352,1391.648,456,3.01,0.72
540.396,1409.604,458,2.71,0.42
522.44,1427.56,460,2.56,0.27
504.484,1445.516,462,2.39,0.1
486.528,1463.472,464,2.67,0.38
468.572,1481.428,466,2.5,0.21
450.616,1499.384,468,2.46,0.17
432.66,1517.34,470,2.43,0.14
414.704,1535.296,472,2.15,-0.14
396.748,1553.252,474,2.13,-0.16
378.792,1571.208,476,2.13,-0.16
360.836,1589.164,478,2.38,0.09
342.88,1607.12,480,2.43,0.14
324.924,1625.076,482,2.32,0.03
306.968,1643.032,484,2.61,0.32
249.486,1700.514,486,2.94,0.65
152.457,1797.543,488,3.35,1.06
55.429,1894.571,490,3.45,1.16
-41.6,1991.6,492,3.32,1.03
-138.629,2088.629,494,3.41,1.12
-235.657,2185.657,496,2.89,0.6
-332.686,2282.686,498,3.07,0.78
-429.714,2379.714,500,3.15,0.86
-526.743,2476.743,502,2.85,0.56
-623.771,2573.771,504,3.16,0.87
-720.8,2670.8,506,3.46,1.17
-817.828,2767.828,508,3.71,1.42
-914.857,2864.857,510,3.37,1.08
-1011.886,2961.886,512,3.43,1.14
-1108.914,3058.914,514,2.94,0.65
-1205.943,3155.943,516,2.78,0.49
-1302.971,3252.971,518,2.95,0.66
