depth (m),age (BP),depth (m),age (BP),planktic.d13C (permil),depth (m),age (BP),TOC (percent),depth (m),age (BP),CaCO3 (percent),depth (m),age (BP),temperature (degC),temperature (degC),depth (m),age (BP),temperature (degC),temperature (degC),planktic.MgCa (mmol_mol),planktic.MgCa (mmol_mol),depth (m),age (BP),temperature (degC),temperature (degC),depth (m),d18O (permil),d13C (permil),depth (m),planktic.d18O (permil),planktic.d13C (permil),depth (m),planktic.d18O (permil),planktic.d13C (permil),depth (m),planktic.MgCa (mmol_mol),depth (m),planktic.MgCa (mmol_mol)
0.06,1050,0.06,1050,1.62,0.06,1050,0.84,0.06,1050,48.5,13.1,112000,20.2,NA,4.48,23885,20.8,26.1,2.1,4,0.005,730,28.6,21.13,0.06,2.32,0.59,0.005,-1.43,NA,0.005,-2.56,NA,0.005,4.99,0.005,2.2
0.26,2040,0.16,1630,1.69,0.16,1630,0.68,0.16,1630,48.2,13.11,112300,20.1,27.3,4.5,24003,20.4,25.8,2.1,3.9,0.025,830,NA,21.35,0.26,2.37,0.58,0.025,-1.31,NA,0.025,-2.54,NA,0.045,4.5,0.025,2.24
0.36,2510,0.26,2040,1.9,0.26,2040,0.78,0.26,2040,50.5,13.12,112500,20.4,NA,4.51,24062,21.4,25.4,2.3,3.7,0.045,930,27.47,21.81,0.36,2.31,0.56,0.045,-1.47,NA,0.045,-2.69,NA,0.085,4.67,0.045,2.34
0.46,3000,0.36,2510,1.82,0.36,2510,0.61,0.36,2510,52.2,13.13,112800,21,NA,4.52,24121,21.5,25.8,2.3,3.9,0.065,1030,NA,NA,0.46,2.44,0.52,0.065,-1.66,NA,0.06,-2.77,NA,0.105,4.99,0.085,2.46
0.56,3470,0.46,3000,1.72,0.46,3000,0.69,0.46,3000,52.4,13.14,113000,19.6,NA,4.53,24180,20.4,26.2,2.1,4,0.085,1130,27.86,22.4,0.56,2.5,0.59,0.085,-1.6,NA,0.065,-2.63,NA,0.125,4.6,0.105,2.06
0.66,3940,0.56,3470,1.85,0.56,3470,0.77,0.56,3470,51.2,13.15,113300,19.9,26.1,4.54,24239,21.5,25.4,2.3,3.8,0.105,1240,28.62,20.4,0.66,2.38,0.63,0.105,-1.58,NA,0.085,-2.59,NA,0.145,4.56,0.125,2.33
0.76,4420,0.66,3940,1.71,0.66,3940,0.66,0.66,3940,51.3,13.16,113500,21.3,NA,4.55,24298,21.5,25.5,2.3,3.8,0.125,1340,27.71,21.77,0.76,2.23,0.54,0.125,-1.53,NA,0.105,-2.64,NA,0.205,5.07,0.145,2.55
0.86,4900,0.76,4420,1.85,0.76,4420,0.73,0.76,4420,50.4,13.17,113800,20,27.4,4.56,24358,21,26.1,2.2,4,0.145,1440,27.6,22.77,0.86,2.19,0.56,0.145,-1.55,NA,0.125,-2.6,NA,0.225,4.32,0.205,2.19
0.96,5380,0.86,4900,1.32,0.86,4900,0.72,0.86,4900,54.2,13.18,114000,NA,26.4,4.57,24417,21.6,26,2.3,3.9,0.165,1540,NA,NA,0.96,2.47,0.53,0.165,-1.64,NA,0.145,-2.41,NA,0.245,4.27,0.225,2.52
1.06,5860,0.96,5380,1.91,0.96,5380,0.69,0.96,5380,51.5,13.19,114300,20.1,26.3,4.58,24477,19.9,26.3,2,4.1,0.185,1640,NA,NA,1.06,2.52,0.62,0.185,-1.6,NA,0.16,-2.76,NA,0.285,4.54,0.245,2.43
1.16,6310,1.06,5860,1.78,1.06,5860,0.76,1.06,5860,51.1,13.2,114500,21.6,26,4.59,24536,20.7,25.9,2.1,3.9,0.205,1740,28.8,21.08,1.16,2.46,0.56,0.205,-1.3,NA,0.165,-2.86,NA,0.305,4.76,0.285,2.38
1.26,6770,1.16,6310,1.58,1.16,6310,0.7,1.16,6310,50.9,13.21,114800,20.9,26.6,4.6,24596,20.5,26,2.1,3.9,0.225,1840,27,22.66,1.26,2.33,0.65,0.225,-1.49,NA,0.185,-2.5,NA,0.325,4.44,0.305,2.22
