depth (cm),age (BP),OM (percent)
1,-29,3.33
3.5,45,2.72
6,119,3.2
8.5,193,2.63
11,266,3.08
13.5,340,2.97
16,414,3.39
18.5,487,3.38
21,560,5.05
23.5,633,3.82
26,706,3.37
28.5,779,3.31
31,852,3.61
33.5,924,3.99
36,997,4.29
38.5,1069,3.37
41,1141,3.64
43.5,1212,3.12
46,1284,3.9
48.5,1355,3.38
51,1425,3.83
53.5,1496,3.39
56,1566,4.67
58.5,1635,4.18
61,1705,4.12
63.5,1774,4.66
66,1842,4.32
68.5,1911,4.52
71,1979,4.72
73.5,2046,3.89
76,2115,3.9
78.5,2183,4.16
81,2253,3.7
83.5,2323,4.35
86,2394,4.72
88.5,2468,3.53
91,2542,5.17
93.5,2619,4.12
96,2698,4.45
98.5,2780,5.98
101,2864,5.5
103.5,2951,5.31
106,3042,5.2
108.5,3136,5.29
111,3233,5.24
113.5,3335,4.7
116,3441,4.24
118.5,3551,4.96
121,3666,5.98
123.5,3787,6.32
126,3912,6.47
128.5,4043,6.35
131,4179,6.71
133.5,4322,6.33
136,4470,5.41
138.5,4625,6.11
141,4784,4.85
143.5,4950,5.64
146,5122,5.82
148.5,5300,5.85
151,5483,6.58
153.5,5672,6.6
156,5866,6.28
158.5,6065,6.18
161,6269,6.57
163.5,6477,5.68
166,6689,6.25
168.5,6905,6.24
171,7124,6.02
173.5,7346,6.62
176,7570,6.24
178.5,7797,5.14
181,8026,4.33
183.5,8257,4.68
186,8489,5.23
188.5,8723,5.59
191,8957,5.36
193.5,9191,5.1
196,9426,5.62
198.5,9660,5.4
201,9893,6.44
203.5,10126,7.08
206,10356,6.09
208.5,10585,7.18
211,10812,9.74
213.5,11036,9.18
216,11257,8.72
218.5,11475,9.54
221,11690,8.4
223.5,11901,5.57
226,12108,6.45
228.5,12311,5.85
231,12510,5.66
233.5,12704,4.08
236,12894,3.49
241,13259,3.98
246,13607,4.25
261,13937,2.91
266,14252,2.77
271,14553,2.95
276,14842,2.9
281,15124,2.11
286,15400,2.13
291,15673,2.18
296,15945,2.17
301,16218,2.25
306,16491,2.26
311,16764,2.38
316,17036,2.74
321,17309,2.57
326,17582,2.85
331,17854,2.38
336,18127,2.58
